店铺ID,店铺名,托管模式,店铺LOGO,在售商品数,店铺总销量,店铺评分,粉丝数,商品ID,商品标题（中文）,商品标题（英文）,商品主图,商品轮播图,商品视频,商品链接,前台分类（英文）,前台分类（中文）,后台分类,标签,美元价格($),欧元价格(€),GMV($),GMV(€),总销量,日销量,周销量,月销量,美区评分,美区评论数,上架时间,收录时间,main_url,标题,banned,banned_hits
634418213313259.0,Joyful Gala,全托,https://img-2.kwcdn.com/supplier-public-tag/1fa3205360/28805a77-91a0-4707-958e-7fb7c3dfd4ce_300x300.jpeg,2183.0,3205186.0,4.8,95610.0,601099715223813,4 件装，圣诞牛皮纸手提袋，8*15*21 公分，铃铛圣诞树袜纸袋，圣诞节家居装饰品，Noel Natal Navidad 装饰，新年装饰，圣诞装饰品，圣诞礼物，圣诞装饰,4 件装，圣诞牛皮纸手提袋，8*15*21 公分，铃铛圣诞树袜纸袋，圣诞节家居装饰品，Noel Natal Navidad 装饰，新年装饰，圣诞装饰品，圣诞礼物，圣诞装饰,https://img.kwcdn.com/product/fancy/d8442478-3245-4149-b110-0a840b2a8518.jpg,"https://img.kwcdn.com/product/fancy/d8442478-3245-4149-b110-0a840b2a8518.jpg,https://img.kwcdn.com/product/fancy/e9ff4128-b7b4-4c6c-a50b-f186ea84fe62.jpg,https://img.kwcdn.com/product/fancy/7ce9cf8f-bf2b-4dda-a76c-9f60dd28304c.jpg,https://img.kwcdn.com/product/fancy/7ce9cf8f-bf2b-4dda-a76c-9f60dd28304c.jpg,https://img.kwcdn.com/product/fancy/1a0dd945-d32a-41d7-add2-7324a48254cc.jpg,https://img.kwcdn.com/product/fancy/0d35b556-7f3f-4e1b-bfd1-084533302754.jpg,https://img.kwcdn.com/product/fancy/cb25c48f-42fa-42ba-b72c-9e05b3e37fac.jpg,https://img.kwcdn.com/product/fancy/f3cd5448-7393-4a1e-9d78-c4379784fac7.jpg,https://img.kwcdn.com/product/fancy/4b139d4c-ae84-4492-bc68-2a233981f3e5.jpg",,https://www.temu.com/search_result.html?search_key=601099715223813&search_method=user,Home & Kitchen/Event & Party Supplies,家居厨房用品/节日聚会用品,家居、厨房用品/活动和派对用品/派对小礼品/派对礼品盒和礼品袋/派对手提礼品包,[],2.1,1.8,,,1,,,,,0,2026-09-12 14:54:42,,https://img.kwcdn.com/product/fancy/d8442478-3245-4149-b110-0a840b2a8518.jpg,4 件装，圣诞牛皮纸手提袋，8*15*21 公分，铃铛圣诞树袜纸袋，圣诞节家居装饰品，Noel Natal Navidad 装饰，新年装饰，圣诞装饰品，圣诞礼物，圣诞装饰,False,
634418216422142.0,zsrxmf,全托,https://img-2.kwcdn.com/supplier-public-tag/1f23582bc0/ddfac7e4-5fbc-4100-ade3-53277130c610_300x300.jpeg,5230.0,450000.0,4.9,15625.0,601099718660525,,"1pc, Dachshund Christmas Table Runner Christmas Dog Table Cover Buffalo Plaid Christmas Decor Dachshund New Year Xmas Decor Christmas Decorations for Home Party",https://img.kwcdn.com/product/fancy/37f9eeba-3c1f-444e-9b35-1dc1d00352fc.jpg,[https://img.kwcdn.com/product/fancy/37f9eeba-3c1f-444e-9b35-1dc1d00352fc.jpg],,https://www.temu.com/search_result.html?search_key=601099718660525&search_method=user,Home & Kitchen/Dining & Entertaining,家居厨房用品/餐厅用品,,[],3.59,3.09,,,4,,,,,0,2026-09-12 11:24:10,,https://img.kwcdn.com/product/fancy/37f9eeba-3c1f-444e-9b35-1dc1d00352fc.jpg,"1pc, Dachshund Christmas Table Runner Christmas Dog Table Cover Buffalo Plaid Christmas Decor Dachshund New Year Xmas Decor Christmas Decorations for Home Party",False,
634418218886885.0,YJXH Fragrant Roast Time,全托,https://img-2.kwcdn.com/supplier-public-tag/1f66680540/d380d3d1-28d4-4d1f-a0fc-6d21a49230d2_300x300.jpeg,629.0,8070.0,5.0,409.0,601099779299888,舒适定制名字法兰绒毯，带睡猫与蝴蝶图案 - 柔软保暖，适用于沙发、床、旅行和办公室 - 理想的礼物选择,舒适定制名字法兰绒毯，带睡猫与蝴蝶图案 - 柔软保暖，适用于沙发、床、旅行和办公室 - 理想的礼物选择,https://img.kwcdn.com/product/open/a096cafd5ec743a2b61fa7142bdbc23b-goods.jpeg,[https://img.kwcdn.com/product/open/a096cafd5ec743a2b61fa7142bdbc23b-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601099779299888&search_method=user,Home & Kitchen/Blankets & Throws,家居厨房用品/毯子,,[],7.98,6.86,,,1,,,,,0,2026-09-12 14:51:07,,https://img.kwcdn.com/product/open/a096cafd5ec743a2b61fa7142bdbc23b-goods.jpeg,舒适定制名字法兰绒毯，带睡猫与蝴蝶图案 - 柔软保暖，适用于沙发、床、旅行和办公室 - 理想的礼物选择,False,
5224761769037.0,McCott Make it,全托,https://img-2.kwcdn.com/supplier-public-tag/d2e0bc5d-387a-4aa3-865e-42fa9303c5db,366.0,2405431.0,4.7,134438.0,601100131328435,100只彩色保鲜膜，一次性食品罩，食品级水果保鲜塑料袋，厨房配件,100只彩色保鲜膜，一次性食品罩，食品级水果保鲜塑料袋，厨房配件,https://img.kwcdn.com/product/open/101ecebf8722454c805cf0398b9cd799-goods.jpeg,[https://img.kwcdn.com/product/open/101ecebf8722454c805cf0398b9cd799-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601100131328435&search_method=user,Home & Kitchen/Kitchen Storage & Organization,家居厨房用品/厨房收纳,,[],2.3,1.98,,,0,,,,,0,2026-09-12 16:28:27,,https://img.kwcdn.com/product/open/101ecebf8722454c805cf0398b9cd799-goods.jpeg,100只彩色保鲜膜，一次性食品罩，食品级水果保鲜塑料袋，厨房配件,False,
634418220220601.0,XIAIS,全托,https://img-2.kwcdn.com/supplier-public-tag/201a0da31ac/6d3196f0-ebde-43a5-b460-d23369b9dd75_300x300.png,7200.0,49655.0,4.9,1942.0,601100219343846,1件黑色聚酯纤维手工托特包女士款 - 耐用宽敞长方形缝纫与线材收纳袋，带励志语录，适合复活节、斋月、母亲节、父亲节及毕业礼物,1件黑色聚酯纤维手工托特包女士款 - 耐用宽敞长方形缝纫与线材收纳袋，带励志语录，适合复活节、斋月、母亲节、父亲节及毕业礼物,https://img.kwcdn.com/product/fancy/4806fcf3-89ac-4d77-830b-e8d4581b1db3.jpg,[https://img.kwcdn.com/product/fancy/4806fcf3-89ac-4d77-830b-e8d4581b1db3.jpg],,https://www.temu.com/search_result.html?search_key=601100219343846&search_method=user,Home & Kitchen/Kitchen Storage & Organization,家居厨房用品/厨房收纳,,[广告],6.72,5.78,,,1,,,,,0,2026-09-12 14:43:20,,https://img.kwcdn.com/product/fancy/4806fcf3-89ac-4d77-830b-e8d4581b1db3.jpg,1件黑色聚酯纤维手工托特包女士款 - 耐用宽敞长方形缝纫与线材收纳袋，带励志语录，适合复活节、斋月、母亲节、父亲节及毕业礼物,False,
634418213982602.0,ALITTLE BEAR,全托,https://img-2.kwcdn.com/supplier-public-tag/1f19f1030e0/16af3f70-0b7c-4cac-94b2-317c0740fbca_300x300.jpeg,20000.0,18956.0,4.8,272.0,601100344830459,四件套长方形餐垫 - 潮流羊驼主题餐垫，带有可爱的设计，引人注目，适用于餐桌和厨房家居装饰（12英寸 x 18英寸），可水洗餐垫，适合家庭聚会和节日派对,四件套长方形餐垫 - 潮流羊驼主题餐垫，带有可爱的设计，引人注目，适用于餐桌和厨房家居装饰（12英寸 x 18英寸），可水洗餐垫，适合家庭聚会和节日派对,https://img.kwcdn.com/product/fancy/dd1a2a73-c471-45cb-85ea-82810fb4f5ec.jpg,[https://img.kwcdn.com/product/fancy/dd1a2a73-c471-45cb-85ea-82810fb4f5ec.jpg],,https://www.temu.com/search_result.html?search_key=601100344830459&search_method=user,Home & Kitchen/Dining & Entertaining,家居厨房用品/餐厅用品,,[],6.99,6.01,,,1,,,,,0,2026-09-12 15:18:02,,https://img.kwcdn.com/product/fancy/dd1a2a73-c471-45cb-85ea-82810fb4f5ec.jpg,四件套长方形餐垫 - 潮流羊驼主题餐垫，带有可爱的设计，引人注目，适用于餐桌和厨房家居装饰（12英寸 x 18英寸），可水洗餐垫，适合家庭聚会和节日派对,False,
1283272843380.0,Han chi ceramic,全托,https://img-2.kwcdn.com/supplier-public-tag/cbdf6346-fbc7-494d-9bec-4c28edc4e2e3,15.0,690.0,5.0,15.0,601100405377959,创意潮流马克杯泡茶陶瓷杯托茶漏茶水分离杯故宫文创送礼个性高端羊脂玉瓷,创意潮流马克杯泡茶陶瓷杯托茶漏茶水分离杯故宫文创送礼个性高端羊脂玉瓷,https://img.kwcdn.com/product/fancy/ce3bbb6e-f037-45b7-bc8d-33e6bdbc34be.jpg,[https://img.kwcdn.com/product/fancy/ce3bbb6e-f037-45b7-bc8d-33e6bdbc34be.jpg],,https://www.temu.com/search_result.html?search_key=601100405377959&search_method=user,Home & Kitchen/Glassware & Drinkware,家居厨房用品/杯具,,[仅剩2件],24.48,21.04,,,0,,,,,0,2026-09-12 10:57:05,,https://img.kwcdn.com/product/fancy/ce3bbb6e-f037-45b7-bc8d-33e6bdbc34be.jpg,创意潮流马克杯泡茶陶瓷杯托茶漏茶水分离杯故宫文创送礼个性高端羊脂玉瓷,False,
634418221175012.0,Sip,全托,https://img-2.kwcdn.com/supplier-public-tag/2029de5d84/c9cd4839-e5e1-4e71-9fe0-3b68351c5772_300x300.jpeg,294.0,23000.0,4.9,2503.0,601100417546709,1个 瞬影 瓶身杯，11盎司，适合节日、生日、圣诞节或夏季礼物,1个 瞬影 瓶身杯，11盎司，适合节日、生日、圣诞节或夏季礼物,https://img.kwcdn.com/product/open/059701e9459e4d3493cedc4fe7d87fe6-goods.jpeg,[https://img.kwcdn.com/product/open/059701e9459e4d3493cedc4fe7d87fe6-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601100417546709&search_method=user,Home & Kitchen/Glassware & Drinkware,家居厨房用品/杯具,,[广告],13.69,11.77,,,2,,,,,0,2026-09-12 15:54:06,,https://img.kwcdn.com/product/open/059701e9459e4d3493cedc4fe7d87fe6-goods.jpeg,1个 瞬影 瓶身杯，11盎司，适合节日、生日、圣诞节或夏季礼物,False,
634418209625556.0,Latacaca,全托,https://img-2.kwcdn.com/supplier-public-tag/201a0da8cfb/11016de4-818c-483a-a42b-0bb7a1c2d1fd_300x300.jpeg,2427.0,200000.0,4.8,18404.0,601100536638823,一套3件可爱橙色柯基犬在水中玩耍图案床单，包括一个床笠和两个枕套，不含枕芯，可机洗，适合所有季节，轻盈面料，带来居家舒适感,一套3件可爱橙色柯基犬在水中玩耍图案床单，包括一个床笠和两个枕套，不含枕芯，可机洗，适合所有季节，轻盈面料，带来居家舒适感,https://img.kwcdn.com/product/open/7480837f31e84768a3827603ebdabf2b-goods.jpeg,"https://img.kwcdn.com/product/open/7480837f31e84768a3827603ebdabf2b-goods.jpeg,https://img.kwcdn.com/product/open/0d01fbce382548f5bc26befabcf7ef25-goods.jpeg,https://img.kwcdn.com/product/open/572681bb0f2242b6ba4ef3ef2ea4221d-goods.jpeg,https://img.kwcdn.com/product/open/069a8b9021c74f51a3ad6d1b4ac5886d-goods.jpeg,https://img.kwcdn.com/product/open/c93bd05bd19b4114991298db2c117991-goods.jpeg,https://img.kwcdn.com/product/open/8eccbc5050754dd5900ce1996ae9e0e7-goods.jpeg,https://img.kwcdn.com/product/open/91782ea5dc6e4263a39cb89a70e8a3cb-goods.jpeg,https://img.kwcdn.com/product/open/49a973ca855343f282cfccc38c4823f9-goods.jpeg,https://img.kwcdn.com/product/open/35aa45a277394945b2a6d08df99f495b-goods.jpeg",,https://www.temu.com/search_result.html?search_key=601100536638823&search_method=user,Home & Kitchen/Bedding,家居厨房用品/床上用品,家居、厨房用品/床上用品/床单、床笠和枕套/床单、床笠、枕套套装,[],21.2,18.22,,,1,,,,,0,2026-09-12 13:54:44,,https://img.kwcdn.com/product/open/7480837f31e84768a3827603ebdabf2b-goods.jpeg,一套3件可爱橙色柯基犬在水中玩耍图案床单，包括一个床笠和两个枕套，不含枕芯，可机洗，适合所有季节，轻盈面料，带来居家舒适感,False,
634418219649452.0,Janisa Art,全托,https://img-2.kwcdn.com/supplier-public-tag/1f193482760/198e6ae9-639c-4ef9-9b7b-4f99905a5bb2_300x300.jpeg,5771.0,100000.0,4.8,6738.0,601100642465778,一件框装拉面墙壁艺术 - 日式风格猫画海报，带有富士山和和服卷轴设计，夜景装饰，室内/室外悬挂油画，塑料框架,一件框装拉面墙壁艺术 - 日式风格猫画海报，带有富士山和和服卷轴设计，夜景装饰，室内/室外悬挂油画，塑料框架,https://img.kwcdn.com/product/open/2265263cb068435cb107806630432795-goods.jpeg,[https://img.kwcdn.com/product/open/2265263cb068435cb107806630432795-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601100642465778&search_method=user,Home & Kitchen/Wall Art,家居厨房用品/墙面装饰,,[],6.86,5.9,,,29,,,,,0,2026-09-12 11:35:29,,https://img.kwcdn.com/product/open/2265263cb068435cb107806630432795-goods.jpeg,一件框装拉面墙壁艺术 - 日式风格猫画海报，带有富士山和和服卷轴设计，夜景装饰，室内/室外悬挂油画，塑料框架,False,
634418219690779.0,Doreen Wall Art,全托,https://img-2.kwcdn.com/supplier-public-tag/1f193482760/e41ca7d0-1419-47c0-91fc-facf9e5d7167_300x300.jpeg,259.0,30000.0,5.0,785.0,601100995140460,1幅带框抽象墙画，波浪线条与几何形状 - 竖版极简/装饰艺术/现代风格绘画，竖版画布印刷，适用于卧室、办公室 - 挂钩式装饰画，理想礼物，夏秋装饰,1幅带框抽象墙画，波浪线条与几何形状 - 竖版极简/装饰艺术/现代风格绘画，竖版画布印刷，适用于卧室、办公室 - 挂钩式装饰画，理想礼物，夏秋装饰,https://img.kwcdn.com/product/open/f0d426e9b1944121983f1d761ddb7fec-goods.jpeg,[https://img.kwcdn.com/product/open/f0d426e9b1944121983f1d761ddb7fec-goods.jpeg],,https://www.temu.com/search_result.html?search_key=601100995140460&search_method=user,Home & Kitchen/Wall Art,家居厨房用品/墙面装饰,,[],7.02,6.03,,,11,,,,,0,2026-09-12 11:36:47,,https://img.kwcdn.com/product/open/f0d426e9b1944121983f1d761ddb7fec-goods.jpeg,1幅带框抽象墙画，波浪线条与几何形状 - 竖版极简/装饰艺术/现代风格绘画，竖版画布印刷，适用于卧室、办公室 - 挂钩式装饰画，理想礼物，夏秋装饰,False,
634418222907494.0,Alice Professional Sales,全托,https://img-2.kwcdn.com/supplier-public-tag/2013f774c3c/b6f46b92-346f-440e-8d70-3b307fc42dfe_300x300.jpeg,173.0,37000.0,4.7,84.0,601101127636909,个性化鼓手金属墙饰，定制姓名牌，装饰艺术风格，入住礼物，音乐主题，锻铁设计，无需电源，理想音乐室装饰,个性化鼓手金属墙饰，定制姓名牌，装饰艺术风格，入住礼物，音乐主题，锻铁设计，无需电源，理想音乐室装饰,https://img.kwcdn.com/product/fancy/d5357c0d-5e6c-4378-b35c-534580eac4b4.jpg,[https://img.kwcdn.com/product/fancy/d5357c0d-5e6c-4378-b35c-534580eac4b4.jpg],,https://www.temu.com/search_result.html?search_key=601101127636909&search_method=user,Home & Kitchen/Home Decor Products,家居厨房用品/家居装饰,,[],16.35,14.06,,,1,,,,,0,2026-09-12 17:20:55,,https://img.kwcdn.com/product/fancy/d5357c0d-5e6c-4378-b35c-534580eac4b4.jpg,个性化鼓手金属墙饰，定制姓名牌，装饰艺术风格，入住礼物，音乐主题，锻铁设计，无需电源，理想音乐室装饰,False,
