排名,预测分,商品ID,标题,美元价格($),cat_l1,cat_l2,main_url,总销量
11,1.3191260504263327,607475994563945,新款青棱纹提花沙发套 弹力全包沙发罩 家用客厅沙发保护罩 防猫抓可拆洗四季通用沙发垫套 多色可选,27.61,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/887d13c4-ca17-4555-8047-4875843c4357.jpg,7
12,1.3073267794019858,607527668419334,1pc 加厚竖纹肌理沙发套 高弹力防滑耐磨沙发套 一体式四季通用全包防尘沙发保护罩 宠物有好可机洗 旧沙发沙发套 适用于客厅卧室办公室等场景 复活节 圣诞节沙发套装饰套（不含抱枕套）,35.1,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/7af5e3ad-aac8-45d8-936f-7702f6aec99c.jpg,14
13,1.2952686405068659,606612974577490,2PCS 2D平面印花，复古几何边框图案抱枕套，橙棕米主色调经典装饰风格，适用于客厅沙发软装、休闲椅靠垫装饰和民宿客房软装，不含枕芯,3.49,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/db006fa98d0f4721a6ec3f9321a2357f-goods.jpeg,28
14,1.2947722367329892,606841681594657,4pc 穿杆 橄榄绿色 杆口式透明窗帘，婚礼装饰、派个窗帘、室内装饰（不含挂杆及配件）窗帘片，纱帘片,24.04,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/29ed91abf5ad45e196c70f4072431e5c-goods.jpeg,51
15,1.2893648668714501,601101280909007,2D平面，1件无框宁静瀑布与繁茂山脉帆布印刷 - 现代经典艺术装饰垂直墙画，客厅、卧室、办公室装饰用鲜艳墨水绿色风景海报 - 宁静自然场景，理想礼物，帆布墙艺术，床房作品，细致森林场景，生动彩色艺术品，2D平面,2.8,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/45cc730d497f4fcb9c445a03d930c3a0-goods.jpeg,4
16,1.2796678936788428,607155751066656,1pc精美礼品枕套 透气枕套 单只装不含枕芯 柔软亲肤 蓝色时尚外观 居家、酒店客房均可使用,1.47,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/2fdc9bee79be42ba9ef4330501b50a79-goods.jpeg,4
17,1.2740291632309224,607448748417232,萌趣狗狗门挡，重型防滑楔形地板保护器，防撞门挡，宠物防护，耐用防刮塑料，无需安装不伤木门地板，趣味治愈家居小摆件，租房居家实用装饰好物，圣诞节、生日送礼独特软装配件。,1.43,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/f80be5c9bdef4fa2abbe3067d6e77af8-goods.jpeg,4
18,1.2737500501189132,606617806447419,31件粉色白色金属粉色气球套件适用于生日 婚礼 派对装饰 粉色节日派对装饰 退休 周年纪念 新娘送礼会 家居室内外派对装饰用品,3.24,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/b159210e-f485-4a19-8eba-af347efb42b1.jpg,59
19,1.2607532919303457,607289163536208,1个 2D 平面印刷 可定制名字 26个字母 薰衣草色 定制名字，家庭纪念礼物，母亲节、情人节、父亲节、感恩节、教师节礼物，情侣用，单面印刷靠垫套、枕套，2D,2.42,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/b088a9e225ca4a8fb3f43eea7153e773-goods.jpeg,11
20,1.2512383102870253,606861411600475,双面银单向隐私隔热遮阳膜，镜面一侧，适用于办公室玻璃窗、厨房阳台、家居卧室，书房等场景的隔热膜，方便安装，静电吸附,8.69,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/054262af-6d77-4172-8729-d1048d8b266e.jpg,9
21,1.2415979942007125,606973751857169,1pc【云澜】沙发垫 四季通用 波西米亚风格 超声波工艺沙发布套 宠物友好 防滑耐磨防抓挠 现代家居装饰保护坐垫,13.36,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/a43371a2-859e-4048-afc5-bee95ba2f8b9.jpg,14
22,1.2403574195992801,607314127992814,七层转角置物架，Z字形壁挂式设计，多层隔断，可收纳书籍和植物，适用于客厅、卧室、厨房、书房角落等场所。,22.28,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/8be6a335-9bea-42b5-9b55-e55b7d268b23.jpg,3
23,1.2379011970909835,606727932085844,2D平面横幅 1个桌旗，包含泰迪熊、礼物、数字“1”和“HAPPY BIRTHDAY ONE”文字等元素，主题派个装饰，适用于餐桌、咖啡桌、周年纪念、家庭装饰，耐用涤纶,2.12,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/217a7c24a8/9e2629e8-0315-41bc-a443-6e0c530cbee8_1000x1000.jpeg,17
24,1.2373637564247406,607483108163033,银色窗膜轻松安装窗用隐私膜，静电吸附式反光镜玻璃覆盖层，既能看清外面又不会被看到，可有效阻隔日间阳光热量及紫外线，可拆卸，不留残留物静电款，适用于门窗,2.36,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/c2b464ae09b44a19bc52fb81d3284d35-goods.jpeg,7
25,1.2251662206726674,606898455715519,2026新款多区支撑枕，双曲线设计慢回弹舒适靠垫，贴合身体曲线支撑枕，适用于居家卧室休息，馈赠亲友的实用节日礼品,16.95,家居厨房用品,床上用品,https://img.kwcdn.com/product/aisc_image/algo/opt/56f674c3/ffc53fd1/362cac4834ad43e3a874893ac03cb9ef-goods.jpeg,0
26,1.2235199401547132,606713235256204,单向透明隔热窗膜 适用于玻璃窗户 静电吸附PVC膜 兼具隔热防眩光功能 阻挡阳光 适用于家庭办公室、玻璃门、镜子、窗户 - 可直接粘贴,1.85,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/d9f141a3-7b1f-4cb1-b326-3af66ffd4676.jpg,78
27,1.2194582813550086,601103503980637,"个性化照片帆布墙艺术，支持自定义照片上传——将您的照片印制在帆布与木质画框上——上传您的图像，适合情侣、家庭肖像——理想礼物, 房间装饰, 卧室海报, 墙面艺术印刷品, 海报墙艺术, 墙面装饰画, 艺术作品, 艺术印刷品, 墙面艺术画布",5.79,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/0170d09a261c4a0d88db9b013e257e42-goods.jpeg,13
28,1.219325229286941,607095487317622,绿色格纹桌布，高品质餐桌罩，适用于野餐、派对、烧烤及户外餐饮装饰,7.17,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/fancy/c62b1602-af6c-4828-af54-99cfaa960444.jpg,30
29,1.2160360743937095,605742673277419,2D平面设计，2D平面设计，3幅定制姓名海报套装，2D平面设计可选带框或无框。个性化拖拉机艺术画布系列，非常适合家居装饰，适用于客厅和卧室，是艺术爱好者的完美礼物,7.45,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/32708a86-6c52-4968-8c2d-fe5b6b14ac96.jpg,47
30,1.2139673855348676,605955475531185,2D桌旗1件，红黑白色流动线条涤纶桌旗适用于餐厅、咖啡桌或餐桌、电视柜、节日和家庭聚会装饰桌布，易于清洁,2.81,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/fancy/2aa56826-4984-4020-a023-f144d28feb80.jpg,3
31,1.2083145581707937,607248696877877,96件波西米亚灰尘玫瑰粉红色裸紫红色中性棕色象牙白色气球气球拱门花环套件，婴儿淋浴气球女孩，波西米亚生日婚礼婴儿淋浴派对装饰的女孩,4.33,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/95c37368-97f1-46c3-95f4-a88ff346f209.jpg,107
32,1.2059393141538979,606024044012098,25件套睡衣派对伴手礼套装，多件套派对礼品包，适合作为女孩周末礼物，适用于睡衣派对、水疗派对用品、短途旅行、万圣节、圣诞节,19.17,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/b0566f26082c4c01a8d19f74ab7bef34-goods.jpeg,28
33,1.2058938669450585,607478678965095,1件，2D单面印刷weirdo复古条纹英文抱枕套，趣味英文艺术字体图案印花靠垫套，美式复古休闲风格，桃皮绒材质，多种尺寸任选，可机洗，拉链闭合，无枕芯，适合沙发、客厅、卧室装饰等,2.58,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/e1a2c261444f4f139bf6bdddef73bfab-goods.jpeg,11
34,1.1995329467799167,607553975061290,2D 平面海星和贝壳亚克力桌面装饰 - 2D 平面旋转设计，用于办公室放松，夏季海滩派对装饰，海洋主题装饰,2.12,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/5ecb8c5a026c4f8287482b63470decc0-goods.jpeg,7
35,1.1966150980904378,606908656277928,复古学院风美拉德格纹织带蝴蝶结diy手工发饰发箍发发夹服装箱包鞋袜帽子玩偶礼盒包装装饰配件饰品材料饰品辅料,2.19,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/e709814c-750c-4e90-b07e-4602996b18e0.jpg,7
36,1.1937271169545944,607447674682804,2D平面，1件复古木制装饰标牌，泰坦尼克号主题 - 复古墙饰，适用于家居、酒吧、餐厅的海洋风格装饰 - 历史爱好者与航海迷的独特礼物，Decorative Sign,1.83,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/8999703d82504a28a5fcd0d5d7e33da3-goods.jpeg,1
37,1.1901806761344083,606868525168355,3pcs轻量级纸质导演板 | 经典电影道具，适用于电影拍摄、派个、生日、婚礼和成人礼 - 导演和演员的理想之选,1.82,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/aef2255e-e046-4130-9b7b-61c462f46139.jpg,6
38,1.1876530901280862,607511696481251,12个复古牛油果绿，沙白，金属金气球套装，金色亮片乳胶气球，适用于波西米亚风，生日，婚礼，新娘送礼会，复活节、毕业派对、周年纪念日、春日主题庆祝，周岁宴，儿童派对装饰物,1.74,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/ec07ce49-0886-46d2-a2b0-88e576a0e86b.jpg,11
39,1.185553627954892,607279231391724,水莲曲线肌理提花沙发套 易安装 耐磨 高弹性 宠物友好型 可机洗沙发套 1/2/3/4人位 适用于旧沙发翻新 家庭客厅、卧室办公室、公寓等场景 复活节圣诞节居家好物,23.55,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/88e9e3a3020c4794b9cdabb048f1eaa3-goods.jpeg,0
40,1.181595023901173,601101056900436,1幅装裱花卉海报 - 复古横版水影帆布画 适用于卧室、办公室 - 带框宁静自然风景画，植物装饰，理想礼物,6.7,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/91a29dc618184a45af98b6096198efbc-goods.jpeg,21
41,1.1715672179342091,605853939812129,2D平面，2D平面，一体式定制木质画框帆布墙，用于2D平面设计的艺术品 - 展示了充满活力的高清Pops艺术风格印刷品，自选您的照片。非常适合客厅、卧室、办公室或宿舍的装饰,8.65,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/df709487-7d02-4dac-8abc-949cb8c55f04.jpg,40
42,1.1703790900963276,606654045243238,100%纯棉床笠 1件装加厚加固不含枕套 柔软透气深口袋床垫罩，防皱舒适床单，适用于所有床垫尺寸，四季通用床垫套，适用于各种家居的搭配,11.12,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/8d8fa4d4217b4649949d141e7e56843f-goods.jpeg,27
43,1.170318424993513,606909595773159,2D平面设计，2D平面模型，1个旋转猫咪造型储钱罐——采用亚克力材质，适用于家居/旅行装饰，可爱旋转摆件/小饰品，生日或节日礼物（猫咪主题），2D平面设计，2D平面,1.78,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/b7a878f8-63e9-4da3-84ce-92fa5451c72e.jpg,11
44,1.1695862915180053,607342649252814,"1pc Fun-Themed Toilet Bathroom Wall Sticker, Buzz Lightyear Reading Newspaper, Humorous Sticker, Suitable for Bathroom, Toilet And Wall Background Decoration, Christmas And New Year Gift, Cute And Practical Sticker, Easily Creating a Cozy Space",1.35,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/916cf90b3e2d42f9b90638049891a1c4-goods.jpeg,83
45,1.1683412551603904,607146624269636,8件套粉紫蓝气球 K-pop 音乐气球套装，生日派个装饰、充气迪斯科球、音符、音乐、应援音乐会铝膜气球、粉丝俱乐部派个背景装饰,2.43,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/bdd8b4c7975a4ebea8b21ba6c550081a-goods.jpeg,16
46,1.1660033943528156,606608411195691,1个装收纳托盘，单层旋转调味瓶收纳架，家用多功能圆形旋转托盘收纳架，适用于厨房、客厅、浴室和卧室，家居收纳整理，家居用品,14.51,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/89bdf8e6215b6225037ed713a51267bd.jpg,6
47,1.1658512405553416,607266614921849,四件套不锈钢装饰托盘，7英寸长金色浴室摆件，首饰碟，化妆品收纳浴室杂物小托盘，珠宝托盘，首饰盘,6.09,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/4d20a01f9c6446a0b94b77d0955fa1eb-goods.jpeg,0
48,1.1617210885200489,607627929040869,现代塑料多格收纳篮带多隔层盒，紧凑型桌面置物架，适用于家庭、办公室、书桌——用于存放化妆品、首饰、文具，塑料置物架，置物篮 随机颜色1件,2.84,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/57c5d8997cad45c8bb64b8c3578fc775-goods.jpeg,6
49,1.156940191554147,607344998079002,九个带内凹结构的木托盘，防止滑动。纯色木板可用。适用于家居杯垫和家居装饰,12.51,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/open/e20b7aa72b1f41a3ad68be0d981781bf-goods.jpeg,0
50,1.1546797981193675,606702900501229,颜色随机家用一次性纸杯杯托办公室桌面杯托杯架隔热防烫加厚塑料透明杯托,0.85,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/open/2024-06-15/1718443886524-cd2fdd17c1864cd6af20e5699e3394eb-goods.jpeg,3
51,1.1505014623173508,606824770202700,2D平面印花单件灰色黑色沙发套，通用型沙发罩，四季通用，客厅、办公室和卧室家具保护罩装饰,21.45,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/217a7c2178/5800b1c7-887e-4525-b4dd-ae1828eafdda_1000x1000.jpeg,32
52,1.1479843741484685,606656461176575,1PC 聚酯纤维网纱面料 咖色亮片刺绣花卉 蕾丝刺绣花边 田园四季通用 适用于家居厨房客厅餐桌 壁柜 鞋柜 梳妆台装饰遮挡 桌旗 桌布 餐垫 节日家庭聚会装饰 户外野餐婚礼礼物装饰 纪念品 不同尺寸可选 glitter,2.15,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/fancy/aae9fc6f-4845-4683-8c7d-044a3ea68021.jpg,7
53,1.1384386266912987,607120586018821,57件香槟金，雾蓝，沙白乳胶气球，马卡蓝气球，适用于婚礼、迎婴派对、单身派对、复活节、毕业典礼，花园装饰，成年礼，性别揭示，生日，周年纪念日,6.07,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/b044e9f8-cbd0-4798-9abf-179a7a82bcee.jpg,17
54,1.1379157637907609,607174608715521,2pc超豪华加厚纯色床垫防护套，，深口袋温暖舒适超柔软床垫防护套，适用于卧室客房床垫保护。,36.73,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/389929e0-3a68-450c-a518-6e70775c377c.jpg,10
55,1.1352210034607055,607441769048122,1pc 双面印刷 复古棕色水彩大花卉抱枕套，柔和朦胧的做旧水墨花朵印花，温柔的中古风氛围感，适配复古、法式、田园风格居家空间，2D平面印刷， 不含枕芯 节日礼物、适合 家人、朋友、老师、客户、圣诞、派对,3.98,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/6da54aa7246b47e58892a2e7dcd7cc49-goods.jpeg,16
56,1.1307219967670872,607027438932141,10个毛巾带，兼容沙滩泳池躺椅带 - 尼龙多用途挂绳，适用于毛巾、行李牌、杯架和邮轮必备品 - 女士夏季旅行必备单品，颜色随机,2.88,家居厨房用品,毛巾浴巾,https://img.kwcdn.com/product/fancy/3aff65f0-eb69-4613-be28-7bff494c6068.jpg,6
57,1.1290362172129702,606139957755412,1件无框日本鹤海报，复古浮世绘油画，创意壁画，生日礼物，客厅，卧室，厨房，浴室，走廊装饰，防水可重复使用,2.96,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/00873752-d87f-4463-a106-2a2a35cb3db1.jpg,5
58,1.1259897550647409,606815911800785,"12pcs of Sage Green, Beige, Metallic Golden, Golden Glitter Balloon Set, Suitable for Weddings, Birthdays, Bohemian Themed Birthday Parties, Anniversary Parties, Outdoor Garden Parties, Baptismal Parties, Gender Revealing Parties, Bridal Showers,",1.82,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/b5fdd405-1fd8-43ea-a099-03a2ed861015.jpg,4
59,1.1241948847677383,606726522805332,4件套塑料便携餐具套装，包括刀叉勺筷子和收纳盒，轻便易携，可重复使用餐具，非常适合家庭、学校、上班族，宿舍、洗碗机清洗安全,1.7,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/fancy/910168e8-b6c8-463b-8590-55d2eb97569d.jpg,1
60,1.1232838143973305,607647793253192,1个秋季蝴蝶颈椎枕套，家庭节日礼物，65X40X13厘米，低过敏性无异味，可机洗，符合人体工学，孕妇适用,7.56,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/5ea24d481bd3439c8857d69a6e3139a2-goods.jpeg,48
61,1.1189326609431187,606883960165999,2026新款7件装木制托盘 - 花朵造型，蜡烛和珠宝收纳盒，适用于台面、浴室、厨房 - 耐用木质储物板，表面光滑，厨房托盘，优雅木制托盘，乡村风格（非食品接触）,6.54,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/e4f2269355044e2287921790f9e330cf-goods.jpeg,9
62,1.1188311882826532,607041397575955,2个装 18X18 英寸枕套，秋季南瓜图案；这些橙色刺绣枕套适合万圣节和感恩节，可用于装饰家中的沙发,6.88,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/0a2bc8cf-9cf9-4d5a-be6e-70d06b361c14.jpg,22
63,1.1166274100972,607498274719020,1个多层裤架，节省空间的衣柜收纳整理器，裤子、牛仔裤、围巾悬挂架,3.56,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/2abbc8db-c144-4ec5-a71d-a8748f49f4c8.jpg,4
64,1.1150451322325892,605889490698481,2D平面画作，1件装无框“我看见伦敦，我看见法国”墙壁艺术印刷品，趣味浴室引言海报，复古牛皮纸风格极简排版装饰，用于卫生间卧室的中性幽默墙壁艺术，无画框,3.38,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/8ecd2fb8-15d2-452d-afee-e08bdcadbaba.jpg,15
65,1.111900643099902,607097634783234,Display Trays-天然相思木分格上菜托盘，三格分隔设计，分区收纳各类餐食小食。适合盛放鲜果、坚果、点心、寿司、冷餐，家庭聚会、节日派对摆盘展示，家用早餐零食盘，复古简约家居风格，打理方便，兼具实用性与装饰效果，是居家待客的实用好物。,3.93,家居厨房用品,食品服务设备,https://img.kwcdn.com/product/fancy/aece7ab0-ecdd-42e1-8a17-81ba1bb67024.jpg,4
66,1.1099087690507081,606961135354672,1件-米色可折叠布艺衣物收纳箱，配透明顶盖与个提手，适用于衣柜及卧室搁板的 可折叠的整理箱,10.21,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/e95b15ec-8757-4614-b109-fa58ec66e98a.jpg,0
67,1.1088213919619503,607078441702709,2D平面，2D平面，复古海报，帆布画，牛仔骑马墙面装饰，客厅卧室美学帆布艺术画，乔迁礼物，无框,5.39,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/525c801f2d84436a8cc6a92596d5bc5a-goods.jpeg,14
68,1.1069840512404743,606904898130917,亲肤摇粒绒提花全包沙发套 耐磨 防滑 高弹力一体式懒人沙发套 可机洗 宠物友好沙发防尘保护罩 适用于客厅卧室办公室等场景 万圣节 圣诞节沙发节日装饰套 2件型号可选择,19.72,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/2780c01340334bc2b159b08f581dae79-goods.jpeg,2
69,1.1057765202405243,606584201661792,1条生日腰带，趣味皇家蓝缎带腰带，金色箔刻字生日腰带，适合男士，生日派个礼物，生日国王腰带，趣味生日派个礼物装饰,1.11,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/5a43d94f-53ad-42e9-9bef-db962b1586ca.jpg,6
70,1.1057755225965298,606240939858145,1pc 8*8in/20x20cm的2D平面圆形铝标牌，有关美人鱼的复古铝牌匾，神秘海洋生物装饰牌，适合酒吧装饰、卧室装饰或礼物，适合咖啡馆装饰、浴室装饰或礼物，适合客厅装饰、厨房装饰或礼物。 Chinese,5.86,家居厨房用品,节日饰品,https://img.kwcdn.com/product/2123a620f0/dc1a9e4c-443d-4982-bfb1-5f7619ec2448_1000x1000.jpeg,39
71,1.1030355464523474,607135350007241,12个万圣节3D蝴蝶墙贴，装饰性镂空黑色蝴蝶墙饰，卧室与客厅背景墙贴画，派对与家居环境美化壁贴,1.27,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/5e6f1b02-1165-4b83-a20e-9a4b245fdbd3.jpg,0
72,1.1006175816094348,607194271611210,5件套（3件枕头+2件耳堵）　灰色柔软编织颈部按摩枕 具有可调节的人体工学设计、高品质枕芯，增强睡眠舒适度。,2.83,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/b1236e51-2559-419c-a4fa-fb4833c25887.jpg,13
73,1.0979682815364376,606945700375409,USB充电便携式电动真空抽气泵（不含收纳包），手持便携真空收纳袋抽气泵，5千帕吸力，充电迷你省空间泵，适用于衣物被褥旅行居家收纳,13.32,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/open/26f4f13cc5a844c8b4c38afb43ec0be2-goods.jpeg,7
74,1.0964694722877222,606944760848690,复古滑动收纳盒，怀旧金属罐，便携式高级整理盒，复活节圣诞节情人节多功能装饰礼盒，空盒,1.07,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/fancy/e98acd3a-b59a-40ae-a5f2-72fe85b3fbb1.jpg,1
75,1.095837908923469,607086024997129,2D平面印花 59X59英寸/150X150厘米 英式复古格子桌布，适用于餐桌罩，长方形机织格子桌布，面料材质，适用于咖啡桌、餐厅、客厅护理桌,6.77,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/open/c266f10f09744bebb4f41c9218a264c5-goods.jpeg,10
76,1.0958102938984562,607485121427322,2D平面2件套时尚斑马纹靠垫套，个面印花大胆棕色和白色条纹，适用于现代沙发、舒适卧室、波西米亚风客厅，动物爱好者适用，不含内芯,5.69,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/d407f0606b2e41afa82b80cab4ff1996-goods.jpeg,14
77,1.0914476784767901,606910401096256,32pcs亚克力镜面墙贴15.02*15.03cm柔性安全亚克力镜面瓷砖适合家居墙面装饰可移动方镜银色镜面墙面装饰,15.91,家居厨房用品,家居装饰,https://img.kwcdn.com/product/algo_check/auto/190c08b7238a378d94fb7e1ab44d42c2_1730186007304.jpg,55
78,1.0906505139838791,607273728504121,10件套（固定器4个+固定条4个+香皂架1个+贴片1个） 隐形床单固定器，可调节防滑夹；无需工具安装，适用于所有床单和床垫，保持床单坚固紧实，隐形设计，适合所有尺寸（单人/双人/特大号，酒店用品，整洁达人的必备；壁挂式肥皂盒，沥水置物，免打孔,6.45,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/93cd8a60-6e52-447f-837d-c1f7a52218c4.jpg,91
79,1.08655245896285,605986463025821,2D平面，2D平面 1件装 同性恋牛仔爱情 水平艺术印刷品：LGBTQIA+ 野西异性墙面装饰，墙面艺术，墙面装饰，现代简约风格海报，客厅和房间装饰，浴室装饰，理想礼物，无框,3.3,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/e244d2bcf9644706a38be79bdc83312c-goods.jpeg,15
80,1.0852792418583002,606601163435290,42pcs粉白金色气球套装 ——10/5寸粉 白色，金属金乳胶气球，色彩柔和，时尚高级，适用于生日、花艺主题淋浴派对、婚礼、纪念日派对装饰，以及圣诞节、万圣节，单身派对告别，生日派对周年纪念、户外派对，婚礼庆典、室内外派对场景，轻松营造派对氛围感,2.63,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/43ae933a0bb549139bc68334fdfd0967-goods.jpeg,10
