排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,source,真实总销量
11,1.425518278824857,606666259038323,12/24/36/48/60只蜘蛛悬挂螺旋装饰，红蓝黑蜘蛛镂空箔纸飘带，恐怖蜘蛛主题派对用品，天花板悬挂饰品，适用于万圣节、生日派对、照相亭背景（随机卡片，随机颜色螺旋）,2.23,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/608bfbff-73c9-42f0-ae5c-cff991393b62.jpg,https://www.temu.com/search_result.html?search_key=606666259038323&search_method=user,912.csv,0
12,1.425474515675772,607177360138176,4 件，复古做旧木拼风抱枕套，带深浅棕米仿木板拼接纹理图案印花设计，日常家居装饰枕套，拉链闭合方形靠垫套，柔软舒适，适用于厨房沙发、客厅、卧室、户外、床品节日装饰，不含枕芯，可机洗，单面印花,5.57,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/38d31009ae9a4081a0e2e1cb57715a5d-goods.jpeg,https://www.temu.com/search_result.html?search_key=607177360138176&search_method=user,912.csv,0
13,1.4238183540954623,605867277689848,2D平面竖版航海海报1件 - 木质画框海洋帆船帆布画，适用于客厅、书房、走廊装饰，包边画框带挂钩安装/适用于家庭办公室、餐厅，是海洋主题的理想礼物,9.19,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/2123a66064/6dfdc453-215d-439f-a76a-e4a77f629304_800x800.jpeg,https://www.temu.com/search_result.html?search_key=605867277689848&search_method=user,913.csv,14
14,1.4077441085143747,606903824416501,"27pcs Red 10-Inch Latex Ball Set, Party Balloons, Suitable for Weddings, Engagements, Birthdays, Anniversaries, Baptisms, Showers, Graduation Parties, Bridal Parties, Bachelorette Parties, Valentine'S Day, Christmas, New Year'S Eve",2.36,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/6d1df88e-cda6-4103-89c0-23d9731a1aa5.jpg,https://www.temu.com/search_result.html?search_key=606903824416501&search_method=user,909.xlsx,0
15,1.3883051429529807,606721221201853,200张粉彩色扇形纸巾，纯色波浪边纸巾，4色加厚一次性甜点饮料餐巾，适用于婚礼、生日、迎婴派个用品,10.11,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/41bef77cd3d0466ea6253233109e927e-goods.jpeg,https://www.temu.com/search_result.html?search_key=606721221201853&search_method=user,911.csv,6
16,1.3783147511404352,607127296966320,25件酒红橙色杏色金属金色气球套装，派个气球，适用于感恩节、秋季主题气球，万圣节秋季派个装饰，秋日生日婚礼新娘送礼会用品，秋季丰收派个，秋季婚礼，毕业派个，周年派个、家庭聚会，室内外装饰。,2.53,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/618bc850-3483-4029-ac11-f6f6b4bc6545.jpg,https://www.temu.com/search_result.html?search_key=607127296966320&search_method=user,910.csv,24
17,1.3779451658678283,607347011371040,海螺置物盘海岸风装饰，贝壳收纳盘玄关桌面整理器，航海风钥匙首饰储物碟，海滨小屋书架点缀,3.67,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/d56d58e0-8010-40ab-b301-9a566db7ee06.jpg,https://www.temu.com/search_result.html?search_key=607347011371040&search_method=user,912.csv,3
18,1.373514492841988,607534110845350,单向透视银色窗户贴膜，自粘式窗膜附带安装刮板，隔热遮阳，外视内隐，家用玻璃贴膜，可选尺寸：29.53×236.22英寸、29.53×275.59英寸、29.53×314.96英寸、29.53×354.33英寸,25.45,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/88fc0fb6-d914-43d1-9e5c-bfde9460e641.jpg,https://www.temu.com/search_result.html?search_key=607534110845350&search_method=user,913.csv,3
19,1.3647025395771348,607301310219646,【开通JIT】1件简约人字纹毛绒沙发垫-宠物友好，可机洗，适用于3/4座和分段沙发，家庭办公室装饰，靠垫，客厅沙发套，复古风格,15.55,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/de27d309-46ff-49c5-a9cb-3ef44a1464ea.jpg,https://www.temu.com/search_result.html?search_key=607301310219646&search_method=user,916.csv,0
20,1.356751771800568,607091460817350,2D 平面，4 件，几何色块线条印花抱枕套，现代简约风格家居装饰枕套，送给家人、朋友和合作伙伴的礼物，拉链闭合靠垫套，有多个尺寸可供选择，适用于厨房沙发、客厅、卧室、户外、床品节日装饰，不含枕芯，可机洗，单面印花。,5.32,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/804408165bd74d6bafe543c8b1d68ec0-goods.jpeg,https://www.temu.com/search_result.html?search_key=607091460817350&search_method=user,912.csv,0
21,1.3478165059015323,606233759177192,2件/3件装 豚鼠床上用品 适用床笠床单 深蓝色主题 含可爱豚鼠、星星、萤火虫及“梦想/愿望”文字 床笠+半枕套 可机洗床罩 用于房间装饰 2D平面印花,16.11,家居厨房用品,床上用品,https://img.kwcdn.com/product/21137b24104/064a003d-e12f-4ca3-9678-6ebff95ded42_1500x1500.jpeg,https://www.temu.com/search_result.html?search_key=606233759177192&search_method=user,911.csv,1
22,1.3374521432162811,607257085492657,1 pc挂树枝戴围巾小浣熊静电窗贴，免胶可移除不留残胶，秋日枫叶橡果森林动物玻璃窗贴，客厅橱窗秋季氛围感装饰贴纸,1.4,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/eb03d61c167f4e8a9c8165694e0ccda8-goods.jpeg,https://www.temu.com/search_result.html?search_key=607257085492657&search_method=user,910.csv,11
23,1.327858311848021,606030956199168,"32pcs Green and Brown Latex Balloons, 25.4cm with Brown Black Dark Lime Green Latex Patry Balloons, for Video Game Theme Patry, Bridal Shower, Jungle Theme Birthday Party, Anniversary, Engagement, Festival Decorations, Holiday Party Decorations",3.3,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/2b3fc4de-2e70-49d7-95a7-f1da739f3f95.jpg,https://www.temu.com/search_result.html?search_key=606030956199168&search_method=user,909.xlsx,0
24,1.3184127167718835,605628386934177,2个波西米亚几何图案抱枕套 | 棕色涤纶，拉链封口，适用于客厅和卧室，可机洗,6.53,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/87d57849-f5f4-4a6f-a415-41820c5049ff.jpg,https://www.temu.com/search_result.html?search_key=605628386934177&search_method=user,913.csv,15
25,1.3115536419812162,606222216487799,晾衣架 1.6Cm 直径易用实用窗帘杆，适用于 50-90Cm 窗户，可安装窗帘、蚊帐布、浴帘布等多用途窗帘杆,2.18,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/df541c36-b666-4ce6-b79a-7f8bcdb95cdf.jpg,https://www.temu.com/search_result.html?search_key=606222216487799&search_method=user,915.csv,11
26,1.3103002955369003,607417274362554,4PCS手工藤编餐杯垫｜北欧简约 + 轻奢复古个风格，天然隔热易清洁，适配阳台下午茶、庭院派个、婚礼餐桌、节日家宴，升级家居质感,3.64,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/464c975790ba4d8494438140e78c0ec9-goods.jpeg,https://www.temu.com/search_result.html?search_key=607417274362554&search_method=user,912.csv,1
27,1.30497633972178,607131457715017,1个方形洗衣篮，天然竹纹印花，可折叠带手柄收纳箱，卧室、浴室、宿舍装饰置物篮，洗衣篮,5.45,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/61b59832-2f76-4fc1-b8fb-2a3c0470b8bf.jpg,https://www.temu.com/search_result.html?search_key=607131457715017&search_method=user,914.csv,0
28,1.3029574674941338,606280936693303,2PCS 2D plane printing 装波西亚风花卉抱枕套， .. ； 装水彩复古花卉装饰抱枕套，复古花卉春季户外季节性装饰枕套，适用于沙发 （不含枕芯）,5.51,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/1ba6408f614c4c898ee9f663a9d726c6-goods.jpeg,https://www.temu.com/search_result.html?search_key=606280936693303&search_method=user,915.csv,13
29,1.302042803930502,606710013991956,2件装微波炉保鲜盖，碗盖，保鲜透明塑胶盖，适合厨房家用保鲜,5.25,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/open/1eeebc45dc9f4e28aa17deb73bfb1a16-goods.jpeg,https://www.temu.com/search_result.html?search_key=606710013991956&search_method=user,911.csv,2
30,1.299983561230742,606621027676496,Multi-Item Party Favor Packs4件多样卡通印花小章鱼可以揉捏的玩具 儿童聚会随手礼品 开学季派个礼物 惊喜礼袋填充小物件、班级奖品，多节日适用，随机颜色款式,2.22,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/ddd1146a-9832-4e91-8cc9-0bb4984de2b4.jpg,https://www.temu.com/search_result.html?search_key=606621027676496&search_method=user,911.csv,3
31,1.2978707104879346,606664379967955,8条黑金撞色亮面丝带，派个背景装饰流苏，毕业典礼生日宴会舞台装饰背景丝带，节日氛围装饰道具,10.12,家居厨房用品,节日饰品,https://img.kwcdn.com/product/21140d62aa8/35cfb2a3-a79c-4ffe-a570-5c0cb02ad944_800x800.jpeg,https://www.temu.com/search_result.html?search_key=606664379967955&search_method=user,910.csv,0
32,1.292107883765199,607256951236272,2个装毛毡彩虹球花环，彩色绒球，长6.5英尺/200厘米，24个球花环，适用于复活节、狂欢节、教室、万圣节、感恩节、圣诞节,2.27,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/8565aacc-8461-4271-90a7-1c827fa74a40.jpg,https://www.temu.com/search_result.html?search_key=607256951236272&search_method=user,914.csv,5
33,1.2906522033134284,606322544246724,波西米亚风藤编灯罩两只装，适用于餐桌及卧室台灯，兼容E27灯口的波浪边编织吸顶灯罩，适配小型台灯，简约波西米亚装饰风格，免布线安装,20.93,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/b8ae8c6e1ff94aeaa907ad7bbfe5385e-goods.jpeg,https://www.temu.com/search_result.html?search_key=606322544246724&search_method=user,914.csv,6
34,1.2899140514978682,607305403866554,"2Dflat,2D平面，房屋形状亚克力圣诞乔迁装饰品 - 首个家吊坠，有窗户设计和""新家第一个圣诞节""文字 - 乔迁礼物，新家装饰品，2D平面适合万圣节，圣诞节",1.33,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/256e6e90231643a89df64c88b5910549-goods.jpeg,https://www.temu.com/search_result.html?search_key=607305403866554&search_method=user,909.xlsx,0
35,1.285414997202663,606739541905158,6件套装饰性金箔金属窗帘绑带，创意窗帘绳扣，适用于家庭和办公室的弹簧式窗帘固定夹（金色）,3.96,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/85f92631-0dae-4738-8f52-5fddcb3c391b.jpg,https://www.temu.com/search_result.html?search_key=606739541905158&search_method=user,913.csv,0
36,1.28410689241626,607212525178762,2D 平面，4 件，米色花卉叶子几何纹样印花抱枕套，北欧简约风格家居装饰枕套，送给家人，朋友和合作伙伴的礼物，拉链闭合靠垫套，有多个尺寸可供选择，适用于厨房沙发、客厅、卧室、户外、床品节日装饰，不含枕芯，可机洗，单面印花。,5.91,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/d8a4ff3858374033b6aba28dce74a39a-goods.jpeg,https://www.temu.com/search_result.html?search_key=607212525178762&search_method=user,912.csv,6
37,1.2747991232584832,606658474438529,"10pcs-金色圣诞球，质感闪粉挂球，圣诞树装饰挂件，节日氛围布置用品，适合花园、庭院、门口圣诞树，提升花园美感与节日装饰, 户外花园装饰, 完美适用于圣诞节、感恩节、母亲节、新年节的完美选择",1.57,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/134dcbf3-cfce-4cbb-8ff3-c8970253d374.jpg,https://www.temu.com/search_result.html?search_key=606658474438529&search_method=user,911.csv,1
38,1.2730024954577785,607201250926357,2pcs有弹性的氨纶枕套（无芯）高克重140g 可机洗 亲肤透气对头发友好的 万圣节礼物,5.07,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/24844155-46e9-495e-acce-d354ad012103.jpg,https://www.temu.com/search_result.html?search_key=607201250926357&search_method=user,910.csv,26
39,1.2687576071657332,606976838835866,1PC-多尺寸可折叠小碎花印花图案熨烫垫，圆角烘干机熨衣板，便携式熨烫垫，悬挂式和平板熨烫，适用于家居，便于旅行携带，节日理想礼物,6.63,家居厨房用品,熨烫机,https://img.kwcdn.com/product/fancy/1c7361b4-8c7a-4791-82ce-7475b88b2ab3.jpg,https://www.temu.com/search_result.html?search_key=606976838835866&search_method=user,913.csv,3
40,1.2654419514052482,607388081964839,不锈钢餐垫架家用厨房锅垫锅架隔热架百搭蒸架餐桌防烫垫架沥水架,3.84,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/open/63d8a4ad25f242a3a0254967652ec0c3-goods.jpeg,https://www.temu.com/search_result.html?search_key=607388081964839&search_method=user,910.csv,0
41,1.262359055525624,607336273931050,23个色彩鲜艳的超大纸花球悬挂装饰，7种颜色混合的纸球，婚礼用品，天花板装饰，户外装饰，生日派个，乡村婚礼，毕业典礼，母亲节，周年纪念，春夏装饰,4.06,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/4bf50eda-be5e-4f53-8ee9-de77deca19d8.jpg,https://www.temu.com/search_result.html?search_key=607336273931050&search_method=user,912.csv,0
42,1.2619892747898773,606615927411971,12片格子餐垫，红色和米色，一次性水牛格纹纸餐垫，适用于生日、节日派个、家庭餐桌用品,9.26,家居厨房用品,食品服务设备,https://img.kwcdn.com/product/fancy/879ac888-979a-4178-b899-1c43085ce237.jpg,https://www.temu.com/search_result.html?search_key=606615927411971&search_method=user,913.csv,13
43,1.2578715352224006,606770412022366,一件填色解压手绘风毛毯--治愈文艺风静物法兰绒毛毯，融合书本、咖啡杯、水晶、花卉与励志文字，精致黑白线描氛围感十足。DIY 填色创意数码印花毯子，面料柔软亲肤，柔软舒适的沙发毛毯，万圣节，圣诞节纪念礼物，成人理想礼物，专属温馨好物。,8.99,家居厨房用品,毯子,https://img.kwcdn.com/product/open/b97bf788c97c411eadf7318811a8a58a-goods.jpeg,https://www.temu.com/search_result.html?search_key=606770412022366&search_method=user,912.csv,1
44,1.2532489289537319,607232389391413,1件装金色麋鹿与星星圣诞帽 - 优雅鹿角头饰，适用于节日派对、圣诞活动、新年庆典、冬季节庆 - 可手洗头饰,2.76,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/725348d6172f41d8aa0993b2c9e3c845-goods.jpeg,https://www.temu.com/search_result.html?search_key=607232389391413&search_method=user,914.csv,23
45,1.25316253040728,606784370615040,单向透视窗贴膜，家用窗户贴膜，白天反光镜面玻璃窗覆盖物，隔热透光不透人，黑色,2.94,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/70069a57620a49d7827f032e51587759-goods.jpeg,https://www.temu.com/search_result.html?search_key=606784370615040&search_method=user,912.csv,7
46,1.2427310833194078,605590319409641,2D平面印花，1件装双面枕套，宁静托斯卡纳乡村风情，沙发家居装饰抱枕套（不含枕芯）_ZXC66314，2D平面（40x40厘米）（45x45厘米）VR家纺，2D平面,4.22,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/20ef5f3eb8/d389d6ad-0f02-4b1f-8728-9b852b88c611_800x800.jpeg,https://www.temu.com/search_result.html?search_key=605590319409641&search_method=user,915.csv,6
47,1.2349396558109766,607504046117765,"1pc Supermarket Shelf Moving Storage Rack with Wheels, Multi-Layer Storage Shelf, Store Warehouse Shelf with Lockable Swivel Wheels",74.97,家居厨房用品,食品服务设备,https://img.kwcdn.com/product/open/f02c005e57df4f4cbd47f10778a8a928-goods.jpeg,https://www.temu.com/search_result.html?search_key=607504046117765&search_method=user,910.csv,0
48,1.2336771266846405,606649213411236,2/3件套 2D平面印花床笠，优雅皇家风格，公主主题床上用品，粉色，皇冠和玫瑰印花，带有“公主”字样，用于卧室装饰（1件床笠和1/2个枕套，不含芯）,15.79,家居厨房用品,床上用品,https://img.kwcdn.com/product/21f0662f80/d437c679-1aa1-4b6f-8197-47158122c375_1500x1500.jpeg,https://www.temu.com/search_result.html?search_key=606649213411236&search_method=user,911.csv,1
49,1.2311862846631039,607162596202616,2d flat printing，1件，拼布纹理卡通森林小动物印花法兰绒毛毯，单面印花，适用于所有季节，旅行、露营、办公室，温馨好礼,5.91,家居厨房用品,毯子,https://img.kwcdn.com/product/open/e701e200d3a749d4b8992ad8a6a3fb05-goods.jpeg,https://www.temu.com/search_result.html?search_key=607162596202616&search_method=user,912.csv,5
50,1.229501936091646,606729878225525,13/22/30个浅金色三色蛋糕装饰球，可用作纸杯蛋糕和多层蛋糕装饰，通常用于生日、婚礼装饰和甜点桌装饰，清新优雅的色彩方案,3.68,家居厨房用品,烘焙用品,https://img.kwcdn.com/product/open/43963332ee2143598bdbe9b89913d439-goods.jpeg,https://www.temu.com/search_result.html?search_key=606729878225525&search_method=user,910.csv,0
51,1.2269915667851097,605699505522597,2 件套 温柔田园蔷薇藤蔓抱枕套 柔和奶白基底，低饱和豆沙粉蔷薇搭配复古细枝，色调素雅干净，自带清新治愈田园氛围，适配法式奶油风、原木风、民宿藤椅、梳妆台软装靠垫套 多尺寸可选（18×18/45×45cm）不含枕芯,4.42,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/573a664b45d54fef8d09b467eee414fc-goods.jpeg,https://www.temu.com/search_result.html?search_key=605699505522597&search_method=user,912.csv,0
52,1.2257452878207316,607516930977675,"高级创意大容量纸巾盒,桌面客厅纸巾收纳盒,耐用储物盒,家居装饰收纳工具,适用于客厅浴室桌面摆放",9.8,家居厨房用品,浴室用品,https://img.kwcdn.com/product/fancy/d4283ac9-ecba-48a5-abb5-e3ec31ea430a.jpg,https://www.temu.com/search_result.html?search_key=607516930977675&search_method=user,910.csv,0
53,1.219591189373334,606248791564617,二维平面 自定义图片帆布墙画 配松木画框，定制裱框，个性化客厅墙面装饰，独特家居装饰品，印刷自定义照片，裱框挂画海报画布印刷品，定制照片，二维平面,5.29,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/4db5233a-bd4f-4b46-99de-098a7edcbdab.jpg,https://www.temu.com/search_result.html?search_key=606248791564617&search_method=user,909.xlsx,32
54,1.2190375164733098,606446360068678,2pcs波斯风格的水仙花和百合抱枕套，柔软质感现代家居装饰适用于客厅、卧室、露台（单面印花不含内芯）,7.46,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/c1cf65df-05ae-4f93-86b1-807b6568332f.jpg,https://www.temu.com/search_result.html?search_key=606446360068678&search_method=user,910.csv,13
55,1.216439159932927,606600626556992,壁挂式折叠衣架，带夹子 - 节省空间的设计，用于高效的洗衣和浴室组织，耐用的塑料结构，毛巾挂钩和衣物晾衣架，晾衣架,2.31,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/5a6838045136456d9a5d9d5a8b70f259-goods.jpeg,https://www.temu.com/search_result.html?search_key=606600626556992&search_method=user,912.csv,0
56,1.2081253221376915,605953177030326,2件装法式奶油奢华薄纱窗帘——月光枝干镂空纹理刺绣纱幔，半透光隐私保护与慵懒朦胧光感，适用于客厅、卧室、阳台、办公室，四季通用,20.97,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/56c422593b8b47b69483f6f4a0f9a2ac-goods.jpeg,https://www.temu.com/search_result.html?search_key=605953177030326&search_method=user,914.csv,3
57,1.202957881883218,606637268034828,40件套金色铝箔烘焙盒，含20个盒体+20个配套盖子，6.8盎司耐热可重复使用长方形松饼烤模，可用于蛋糕和布朗尼的一次性烤盘,7.9,家居厨房用品,烘焙用品,https://img.kwcdn.com/product/fancy/fc6f62c3-a619-4ba2-b021-444aa96906f8.jpg,https://www.temu.com/search_result.html?search_key=606637268034828&search_method=user,914.csv,1
58,1.2013098076884963,606690149801141,【随机】多件派对礼品包 阿索洛特 蛤蟆软糖包 糖盒套装 奇趣解压球 迷你慢发玩具，带满足的脆脆粘粘质地，适合万圣节圣诞派对礼品，颜色随机,16.01,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/40d5bd1a11f84015934a2d1297afae1c-goods.jpeg,https://www.temu.com/search_result.html?search_key=606690149801141&search_method=user,910.csv,0
59,1.1967890775447843,607183131522431,"【随机】多件套派对礼品包 阿索洛特, 麦芽糖填充阿索洛特, 可爱阿索洛特软萌压力球玩具, 万圣节派对礼品, 万圣节非糖果万圣节求糖果礼物, 随机颜色",17.62,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/eb5545b00e3d4e57837e3815eda089a4-goods.jpeg,https://www.temu.com/search_result.html?search_key=607183131522431&search_method=user,910.csv,0
60,1.1927711955099367,606324423279297,2 件套 少女粉细条纹底方框白鹅印花抱枕套 浅粉竖条纹底色，中间波浪米白方框，框内手绘可爱大白鹅搭配嫩黄花枝绿叶，软萌治愈卡通田园图案，客厅沙发、儿童房、飘窗通用靠枕套 多尺寸可选 不含枕芯,7.06,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/aab66e6c53714c9bad91c88a02577b10-goods.jpeg,https://www.temu.com/search_result.html?search_key=606324423279297&search_method=user,912.csv,0
61,1.1917245184393204,607250374607717,4个装新款个头驱蚊夹套装，带可弯曲多功能通用夹，适用于家庭室内香薰、户外驱蚊、露营、钓鱼、便携式线、檀香香薰盘夹,2.24,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/fd9b49b89e9c4a5dafff06a6fffa34fa-goods.jpeg,https://www.temu.com/search_result.html?search_key=607250374607717&search_method=user,913.csv,1
62,1.1894977482077558,605767419672252,双层水洗磨毛舒适亲肤全涤水洗磨毛枕套2只一对耐用时尚枕套一对不含芯纯色枕套,12.0,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/65127558-e31e-41b3-a3b0-024dfc66a9e1.jpg,https://www.temu.com/search_result.html?search_key=605767419672252&search_method=user,915.csv,24
63,1.1884870402986545,606873759642303,秋季感恩主题抱枕套，2件，2D平面印刷 南瓜菊花葡萄秋叶花卉图案装饰枕套，美式田园秋收主题，暖橘棕黄配色设计，装饰性枕套，腰部靠垫套，单面印刷，拉链闭合可机洗，涤纶材质，适用于家居客厅卧室沙发装饰,3.19,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/0cf06f9cded04fba81d97640dc05620c-goods.jpeg,https://www.temu.com/search_result.html?search_key=606873759642303&search_method=user,915.csv,0
64,1.1879896087287467,606222501656554,4件套现代简约风聚酯纤维抱枕套 黑白抽象图案抱枕套 适合家居沙发装饰，家居摆设，卧室家居装饰，完美的节日礼物，拉链封口，涤纶抱枕套（不含枕芯）,16.22,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/6aeedf87971f45d4a8cbbbd92174ff1d-goods.jpeg,https://www.temu.com/search_result.html?search_key=606222501656554&search_method=user,915.csv,0
65,1.1860738110959148,607379492029290,2个装大容量壁挂式淋浴置物架，无需钻孔浴室收纳架，防锈粘胶悬浮储物架，带排水设计，适用于淋浴、洗漱用品、化妆品、浴室和厨房,8.17,家居厨房用品,浴室用品,https://img.kwcdn.com/product/open/1493b12da3ce4127b2a298f55e369288-goods.jpeg,https://www.temu.com/search_result.html?search_key=607379492029290&search_method=user,913.csv,1
66,1.186030332962787,606870739720694,2D平面，木质标牌，摩根香料金海盗主题复古墙饰，适用于酒吧、男人洞穴或娱乐区——标志性香料朗姆酒标志挂钩式装饰，2D平面设计，完美契合房间装饰,1.11,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/0878f48b-8e64-48d9-bb3a-2ee820ae358e.jpg,https://www.temu.com/search_result.html?search_key=606870739720694&search_method=user,916.csv,68
