排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,来源文件,banned,banned_hits,img_missing,总销量
11,1.3085298405480486,607431031646887,5pcs 多彩雏菊铝箔气球-棕色/奶油白/粉色/绿色/蓝色，适用于生日派个、婚礼、订婚、周年纪念装饰,1.47,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/471164b6-9894-4dcd-b8a2-5cb10f2bcf73.jpg,https://www.temu.com/search_result.html?search_key=607431031646887&search_method=user,913.csv,False,,False,6
12,1.2914696955788212,607123673031686,"2D Flat, 1pc Step-by-Step Toilet Guide Poster Suitable for Bathroom Wall Decor - Soft Pastel Potty Training Chart with Clear Visual Instructions, Frameless Canvas Art Print for Bathroom Decorations, & Powder Room",1.28,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/a921dd6171724d978e066ccdce5dbeb9-goods.jpeg,https://www.temu.com/search_result.html?search_key=607123673031686&search_method=user,913.csv,False,,True,0
13,1.2880598065800637,607127296957252,1件励志名言PVC标牌桌面摆件，大事需要时间，保持耐心箴言装饰，办公室书房客厅摆设，鼓励人生小摆件，PVC材质耐用。Decorative Signs & Plaques,2.2,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/5c6e3230dc7141cd8b953ce62c134dab-goods.jpeg,https://www.temu.com/search_result.html?search_key=607127296957252&search_method=user,913.csv,False,,True,0
14,1.2595027841986426,607120854498614,2D平面 - 1件 2D[平面]金属标牌，描绘摇滚乐队成员手持电吉他并穿着铆钉装饰的服装，展示独特的朋克风格装饰画。8X 12英寸，适用于厨房、餐厅、卧室等,3.56,家居厨房用品,家居装饰,https://img.kwcdn.com/product/21140d63720/0633993e-6a5e-40e7-8b3b-6de37bab0f04_800x800.jpeg,https://www.temu.com/search_result.html?search_key=607120854498614&search_method=user,913.csv,False,,True,3
15,1.239402411252516,601101559849573,2D平面金属框架2D平面风景画布墙艺术，装裱森林山脉艺术印刷墙饰海报，家居室内客厅卧室厨房餐厅走廊挂墙装饰，尺寸80*40cm、100*50cm、116*60cm、140*70cm，2D平面,41.07,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/ac708265-b7fe-4426-8b23-afa790f74792.jpg,https://www.temu.com/search_result.html?search_key=601101559849573&search_method=user,913.csv,False,,True,1
16,1.2359964264497985,607123538861838,"1pc Fruit Hair Drying Towel - Lightweight And Foldable, with Strong Water Absorption, Quickly Dries Hair After Sports Bathing! Ideal Gift for Men And Women",4.64,家居厨房用品,毛巾浴巾,https://img.kwcdn.com/product/open/641df6f00c93497e93d0437170291be8-goods.jpeg,https://www.temu.com/search_result.html?search_key=607123538861838&search_method=user,913.csv,False,,True,0
17,1.2279636831808105,607372915405243,"1件2D平面图案,圣诞窗贴玻璃静电贴纸，窗贴，玻璃贴画，窗户贴花 圣诞花环松果红球图案玻璃贴膜易安装可拆卸，防水贴纸，可重复使用个面可见|可移除的PVC节日防水贴纸，圣诞节玻璃窗户装饰贴纸 个面打印-浴室家居玻璃贴膜",2.18,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/79a189fc9657474cae114876ef272c9a-goods.jpeg,https://www.temu.com/search_result.html?search_key=607372915405243&search_method=user,913.csv,False,,False,3
18,1.2261817573554987,607124209895799,1个加厚木质杯垫 黑色狗狗与奶酪文字图案 适用于吧台柜台、员工储物柜旁、节日庆典餐桌、露营野餐地点，作为送给侄甥子女童（儿童/青少年）、配偶（丈夫/妻子）、准父母（孕妇）的礼物,0.84,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/a13f1490de5d488f8663f09137ac31ae-goods.jpeg,https://www.temu.com/search_result.html?search_key=607124209895799&search_method=user,913.csv,False,,True,0
19,1.2238313913788368,607129981271862,二维平面 美国斯塔福郡梗犬窗挂式太阳捕手 - 圆形亚克力装饰牌带黑边与阿姆斯塔夫图案，适用于办公室装饰 - 狗主人礼物，二维平面,2.67,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/6c1c7aab9973425c8c5ca4e70b802d17-goods.jpeg,https://www.temu.com/search_result.html?search_key=607129981271862&search_method=user,913.csv,False,,True,0
20,1.2229109847519137,601099600081030,"Elegant Golden Carved Resin Photo Frame, Vintage Oval Design with Embossed Floral Patterns - 17.98cm x 22.99cm, Ideal for Bedroom, Living Room, Office Decor, and Evening Party Atmosphere (Random Photo Insert), Room Decor",14.86,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/ed96ee58-6d11-417c-9c98-a9b99a0584ca.jpg,https://www.temu.com/search_result.html?search_key=601099600081030&search_method=user,913.csv,False,,True,9
21,1.2187581595071433,606754574320042,50个14厘米一次性木勺，迷你木制甜点勺，甜点勺，品尝勺，适合派个、聚会、节日、婚礼,2.86,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/algo_framework/ImageCm2InAlgo/1586607c-a44a-11f1-8f52-0a580aa3ffa6.jpg,https://www.temu.com/search_result.html?search_key=606754574320042&search_method=user,913.csv,False,,False,20
22,1.2058377037326795,607129847065825,1件/3件装万圣节一次性塑料桌布，酷黑底色搭配南瓜、幽灵、女巫与蛛网元素，适合万圣节主题聚会、节日派对、生日派对、户外聚餐桌布装饰137*274cm,2.28,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/529ec4ab-96ef-49f9-822a-16e8a6b83caa.jpg,https://www.temu.com/search_result.html?search_key=607129847065825&search_method=user,913.csv,False,,True,31
23,1.202411280247515,607127162695388,3件套 （1个收纳挂袋 + 2个透明挂钩） 组合，棉麻挂墙式多口袋收纳袋套装 家用墙面储物整理袋,2.66,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/open/db3a6489af474f9d93d63bba3a120f2a-goods.jpeg,https://www.temu.com/search_result.html?search_key=607127162695388&search_method=user,913.csv,True,家用,True,5
24,1.2019076402397044,607127364023977,2D平面，1件装，绚丽海洋圆形挂牌，海底生物复古装饰牌匾，热带珊瑚礁门廊装饰，墙壁装饰，家居装饰，房间装饰，标牌 20x20厘米，2D平面,1.95,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/2b8ce9ee62d541c78151892906e17252-goods.jpeg,https://www.temu.com/search_result.html?search_key=607127364023977&search_method=user,913.csv,False,,True,0
25,1.1974634777412467,607129444435920,"Realistic Animal Model, Lifelike Teddy Static Dog Ornament, Creative Exquisite Home Craft, Photography Prop, Christmas Halloween Holiday Decor, Window Display Collectible, Realistic Pet Sculpture, Thoughtful Companion for Dog Lovers",10.4,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/4f7a89cb-710e-41ed-898d-4b05a7899185.jpg,https://www.temu.com/search_result.html?search_key=607129444435920&search_method=user,913.csv,False,,True,0
26,1.1965946026366192,601100785344184,麻绳窗帘夹客厅窗帘绑带绑绳 编织窗帘系带,1.92,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/73073b72711449af9240d7e468e1905f-goods.jpeg,https://www.temu.com/search_result.html?search_key=601100785344184&search_method=user,913.csv,False,,False,9
27,1.1916495726040548,607122330849743,"(2D flat)2pcs，可爱的圣诞猫头鹰悬挂饰品亚克力挂饰，用于汽车挂饰，家居节日挂饰，圣诞树装饰品，背包装饰吊坠，圣诞节礼物, 节日装饰品,季节性礼物,扁平吊坠,可爱动物设计,轻量吊坠,装饰吊坠,汽车配件爱好者,假日爱好者",2.12,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/6c0439b1-c117-4816-a516-94c657826cbf.jpg,https://www.temu.com/search_result.html?search_key=607122330849743&search_method=user,913.csv,False,,True,0
28,1.188605185777388,601101621417054,墙壁艺术，装裱墙壁艺术，现代抽象帆布墙壁艺术3件套绘画版画，波西米亚风格的客厅浴室厨房办公室墙壁装饰，帆布艺术品,21.6,家居厨房用品,节日饰品,https://img.kwcdn.com/product/algo_check/auto/5c9182abb0a4eef992ee703119c8d9e7_1749364053453.jpg,https://www.temu.com/search_result.html?search_key=601101621417054&search_method=user,913.csv,False,,True,1
29,1.1872022349483342,607119109632255,4个装水彩花亚克力杯垫，异性花朵透明隔热杯垫。樱花勿忘我玫瑰花图案防水茶杯垫，，Ins新款杯垫，隔热杯垫套装，保护桌面免受热饮、杯子和盘子污染 - 环保环保，适用于办公室、餐厅、咖啡馆,1.65,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/d4050c5e-6c2f-41d0-8bec-739cecab751c.jpg,https://www.temu.com/search_result.html?search_key=607119109632255&search_method=user,913.csv,False,,True,0
30,1.1846620496861082,607128639079688,"6pcs/pack, 16oz Personalized Custom Name Colored Plastic Water Cup, Cold Cup with Skull and Bat Patterns, Reusable, Halloween Themed Party Supplies, Beach Vacation Cups for Weddings and Gatherings, Suitable for Parties, Picnics, and Corporate Team",11.95,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/a36db85cf8d74b4183dd06d458f8a28a-goods.jpeg,https://www.temu.com/search_result.html?search_key=607128639079688&search_method=user,913.csv,False,,True,0
31,1.1809257188761806,607108036664920,2D平面，1件，粉色独角兽圆形挂牌，飞马复古装饰牌匾，节日主题门廊装饰，墙壁装饰，家居装饰，房间装饰，标牌 20x20厘米，2D平面,1.95,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/770be126dd34454999ce47ca5204895c-goods.jpeg,https://www.temu.com/search_result.html?search_key=607108036664920&search_method=user,913.csv,False,,True,0
32,1.1791455977322791,607122330884586,1卷不粘加厚烘焙油纸，防油防水烤盘纸，完美适合烘焙、烤箱、披萨、蒸煮-家庭厨房用品-烘焙小工具-适合庆祝圣诞节、万圣节、感恩节,3.81,家居厨房用品,烘焙用品,https://img.kwcdn.com/product/open/dd9553e272754737a7a4d285d564f71e-goods.jpeg,https://www.temu.com/search_result.html?search_key=607122330884586&search_method=user,913.csv,False,,True,0
33,1.179086107047574,607122330897990,曼陀罗花纹隔热杯垫,2.23,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/fancy/3491cd3f-1d26-43e5-a2d7-614d5c20b43c.jpg,https://www.temu.com/search_result.html?search_key=607122330897990&search_method=user,913.csv,False,,True,0
34,1.1773262197725047,606517847811901,绘画，3件/套，2D，帆布印刷，极简主义植物三联油画，海报，家居装饰，壁画，非常适合客厅，卧室，无框！,4.5,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/e6a3ac2b-6cd5-4331-aaf3-53620824fac4.jpg,https://www.temu.com/search_result.html?search_key=606517847811901&search_method=user,913.csv,False,,False,0
35,1.1762328343717674,606432669848766,2D平面波西米亚植物海报三件套 - 现代波西米亚极简抽象墙壁艺术印刷品，适用于卧室、办公室装饰，中性大地色调无框竖版图案，春夏家居装饰植物画作,7.74,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2e95059fda9140f590db2dd57de2070f-goods.jpeg,https://www.temu.com/search_result.html?search_key=606432669848766&search_method=user,913.csv,False,,False,0
36,1.1703366373747888,601100070255316,1个雕刻周年纪念、生日礼物亚克力标牌桌面装饰品，“送给我的爱”心形支架桌面标志装饰，情侣礼物送给她/他，浪漫我爱你礼物桌面装饰亚克力牌匾，派个桌面中心装饰,5.14,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/d90ecafa02a94151970fbde47f2167fa-goods.jpeg,https://www.temu.com/search_result.html?search_key=601100070255316&search_method=user,913.csv,True,支架,True,0
37,1.1665813255300332,607091192365669,"2D/平面 无框 3件套 巴ух豪斯风格 1923年展览主题墙, 极简主义几何色块装饰画, 客厅书房工作室墙壁装饰画布画 无框",4.55,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/497fc4040b7f4c1cbd9d42a4463b20b6-goods.jpeg,https://www.temu.com/search_result.html?search_key=607091192365669&search_method=user,913.csv,False,,False,3
38,1.1652014275710454,607115083127469,"Acrylic Display Stand, a Tiered Adjustable Rack for Collectibles, with a 7-tier Ladder Structure and Transparent Round Shelves, Assembled with Reinforced Screws, Polished Edges, Sturdy and Professional Retail-quality, Jewelry Towers",8.89,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/cb7fa2fa3bcc4336981f279203e07c4e-goods.jpeg,https://www.temu.com/search_result.html?search_key=607115083127469&search_method=user,913.csv,True,LV|Led,True,0
39,1.1634659674961891,607107835391022,"2/4/6pcs Round PVC Placemats Suitable for Home & Restaurant Table - Hollowed-Out Holly Leaf Design, High Quality Thermal Insulation Table Protectors, Washable Durable Table Mats for Dining Table Decoration, Fits for Western Style Decor",4.82,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/fancy/e34b4a62-1065-40e8-93ce-6a337a181c59.jpg,https://www.temu.com/search_result.html?search_key=607107835391022&search_method=user,913.csv,True,Led,True,0
40,1.1625537925633898,606995629363907,多功能切片护手夹 土豆黄瓜番茄柠檬切片辅助器 均匀切水果蔬菜家用厨房备菜工具,1.81,家居厨房用品,厨房用品,https://img.kwcdn.com/product/fancy/market/9ce471a52f05d6397a33d4585fa8edd3_sg4dD7jGReP0U.jpeg,https://www.temu.com/search_result.html?search_key=606995629363907&search_method=user,913.csv,True,家用,False,1
41,1.1616290614613354,607127296906343,1件桌面正方形PVC标志标牌小摆件，纪念逝去的爱，永远在我们身边，办公室家居客厅装饰，温馨怀念礼物，桌面装饰品。Decorative Sign,3.6,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/745f73ee5fc74691903ce401ee5c963f-goods.jpeg,https://www.temu.com/search_result.html?search_key=607127296906343&search_method=user,913.csv,False,,True,0
42,1.1597209909301833,607101795591274,1件装弹性横幅，印有金色斑马纹图案，非常适合生日庆祝活动,15.85,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/d0381101-f8c4-48dd-b21f-afc092f8a25b.jpg,https://www.temu.com/search_result.html?search_key=607101795591274&search_method=user,913.csv,False,,True,0
43,1.1437621802186393,607125015210286,"5-Pack Halloween Black Candy Buckets, Holiday Trick-Or-Treat Baskets, Textured Plastic Storage Containers, Party Decoration Planters, Ornament Storage",20.18,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/69a16f467a7243dfb8a9b50fd00dd349-goods.jpeg,https://www.temu.com/search_result.html?search_key=607125015210286&search_method=user,913.csv,False,,True,0
44,1.141887118173049,601101413682655,黄色柠檬派对横幅 - 生日庆祝、新娘派对和夏季水果主题派对的生动柠檬水主题装饰，纸质材料，不需要电源，柠檬装饰,7.04,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/8a5bb64bcbcf417da4d5f85b7ecd8ea8-goods.jpeg,https://www.temu.com/search_result.html?search_key=601101413682655&search_method=user,913.csv,False,,True,15
45,1.1414705346219078,607131189217715,"2D Flat, 1pc Rotatable Human Skull Model - 2D Flat Acrylic Science Display with Labeled Muscles, Veins, And Cranial Nerves - Interactive Learning for Biology Students, Teachers, And Doctors - Rotatable Base And Labeled Brain Map, Christmas Decor",3.71,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/85686a5afdd44a11bcbab6b5d72e474e-goods.jpeg,https://www.temu.com/search_result.html?search_key=607131189217715&search_method=user,913.csv,True,Led,True,0
46,1.1397523623405326,601101676693609,"3 件灵感木框画布艺术 - ""能力是你能做的事情"",""动机决定你做什么"",""态度决定你做得好"" - 现代简约墙面装饰，适用于客厅、卧室、家庭办公室、励志墙面艺术",33.67,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/algo_check/auto/a2c875cada005980660603545d98b2bb_1749653913455.jpg,https://www.temu.com/search_result.html?search_key=601101676693609&search_method=user,913.csv,False,,True,10
47,1.1394964909031728,607167964892703,1个透明风扇架，U型桌面手风扇展示架，带稳定底座的风扇支架，易于组装的风扇收纳整理器，适用于家居装饰收藏的传统风扇架,1.2,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/acdb31c04d684c2c8e16b46ffe685fb5-goods.jpeg,https://www.temu.com/search_result.html?search_key=607167964892703&search_method=user,913.csv,True,支架,False,0
48,1.138775723415295,607111996114816,"1pc 13oz/380ml Highball Tumbler Suitable for Moo, Roostertail, Champagne, Whisky & Wine - Party Cups for Home, Weddings, Bars, Holiday Toasting with Candy Cane Ribbon Bow & Gingerbread Snowflake - Gift Idea",7.41,家居厨房用品,杯具,https://img.kwcdn.com/product/fancy/0f438977-5df5-4d91-a99f-dfede34372bf.jpg,https://www.temu.com/search_result.html?search_key=607111996114816&search_method=user,913.csv,False,,True,6
49,1.134037324081867,607594106188782,二维平面、海报与印刷品、二维平面、三件套墙壁艺术、墙壁海报、墙壁画、多联画印刷品、自然印刷品、床头艺术、酒店墙面、现代风格、中性色调、墙壁挂饰、温馨家居装饰、大地色系、柔和色彩、卧室三联画帆布装饰、二维平面,59.37,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/c413f5e3eecb4f94a95b1aeeff7813d0-goods.jpeg,https://www.temu.com/search_result.html?search_key=607594106188782&search_method=user,913.csv,True,酒,False,0
50,1.129444974448394,607101124476549,"2pcs Seagulls Over Tropical Ocean Printed Polyester Curtains with Rod Pocket Design, Ideal for Study Decor, Living Room, Bedroom, Housewarming Gift Idea",4.26,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/21152340a32/be5884c3-6a5a-4748-8cd7-1ecfb0c5ecd3_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=607101124476549&search_method=user,913.csv,False,,True,0
51,1.127214666933507,606106067777779,2D平面画，2D平面画，三幅手绘热带植物艺术品套装，包含充满活力的花朵和太阳图案，灵感来自东南亚设计，非常适合装饰客厅、玄关或卧室的墙壁。无框帆布画,5.46,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/d3000c9f40024077a30c50ba55c50f07-goods.jpeg,https://www.temu.com/search_result.html?search_key=606106067777779&search_method=user,913.csv,False,,False,8
52,1.124803541197886,607121391343455,2D平面单片复古门牌标志 - 20.32X20.32厘米，趣味公告金属墙面装饰，适用于车库、咖啡馆装饰或万圣节/感恩节/圣诞节礼物的住宅便签装饰标志,2.26,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/6cdca6437dab4893981e34c47c6cdcdd-goods.jpeg,https://www.temu.com/search_result.html?search_key=607121391343455&search_method=user,913.csv,False,,True,0
53,1.1240780855229977,607129310231695,2件组合套装（1pc海豚拇指苹果去皮器+1个赠品小熊收纳袋）水果削皮神器刨梨子薄皮刮开橙削皮器,1.38,家居厨房用品,厨房用品,https://img.kwcdn.com/product/fancy/c8ea639b-536a-480e-8e71-e960c12a7949.jpg,https://www.temu.com/search_result.html?search_key=607129310231695&search_method=user,913.csv,True,APP,True,0
54,1.1238265377106798,607129847076770,1pc Wax Melt Burner Iron Frame Tealight Candle Warmer Essential Oil Aroma Diffuser Detachable Minimalist Home Decor Bedroom Gift Candle Not Included,6.68,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/32cb6e22-d921-48ee-b7a1-6ee974710175.jpg,https://www.temu.com/search_result.html?search_key=607129847076770&search_method=user,913.csv,False,,True,0
55,1.1237301981082368,607112130342226,"9 Sheets Static Cling Christmas Snowflake Animal Stickers - Reusable PVC Window & Door Decals with Reindeer, Squirrels, Hedgehogs, Owls, Rabbits, Foxes, Raccoons, Bells & Holly for Indoor/Outdoor Holiday Party",3.83,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/130bd2385fcb48d3885db8499642ac01-goods.jpeg,https://www.temu.com/search_result.html?search_key=607112130342226&search_method=user,913.csv,False,,True,0
56,1.1212064143669063,607107432694894,"2D平面，1件圆形木质装饰挂牌,音乐符号主题装饰标牌，适用于家庭房间、宿舍、咖啡馆、餐馆、庭院墙面装饰，方便悬挂且持久如新的墙面装饰",1.75,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/47a6bff7-b064-44a8-b3b5-28760ee17c33.jpg,https://www.temu.com/search_result.html?search_key=607107432694894&search_method=user,913.csv,False,,True,0
57,1.1152108599678427,601101335369891,2D平面，1件，空灵舞蹈多彩艺术画作，女性与蝴蝶，抽象现代墙面艺术木质框画布作品，适用于家居和办公室装饰，酒吧、咖啡馆、商店或卧室的理想选择，完美的家居装饰礼物，2D平面,23.49,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/e7b6b05b6170467baa5055a6046b155e-goods.jpeg,https://www.temu.com/search_result.html?search_key=601101335369891&search_method=user,913.csv,True,酒,True,1
58,1.1139197818165565,607534110845350,单向透视银色窗户贴膜，自粘式窗膜附带安装刮板，隔热遮阳，外视内隐，家用玻璃贴膜，可选尺寸：29.53×236.22英寸、29.53×275.59英寸、29.53×314.96英寸、29.53×354.33英寸,25.45,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/88fc0fb6-d914-43d1-9e5c-bfde9460e641.jpg,https://www.temu.com/search_result.html?search_key=607534110845350&search_method=user,913.csv,True,家用,False,3
59,1.1137966564876003,607094010924380,20件装圣诞装饰纸巾 可爱圣诞卡通图案 酒店节日下午茶 节日礼品包装区 宠物友好拍照区,2.31,家居厨房用品,清洁用品,https://img.kwcdn.com/product/open/2c20bd2e401d4d35b952aefe6d0275df-goods.jpeg,https://www.temu.com/search_result.html?search_key=607094010924380&search_method=user,913.csv,True,酒,True,0
60,1.1121048645926037,607536258359872,三层波西米亚中性色悬挂篮 - 编织绳墙壁收纳架，带节省空间的垂直储物架，波西米亚风格，适用于浴室、婴儿房、厨房、卧室 - 多房间悬挂式置物箱，用于存放毛巾、餐具,8.87,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/376edcb0-8004-461f-b86a-0287fa6094d0.jpg,https://www.temu.com/search_result.html?search_key=607536258359872&search_method=user,913.csv,False,,False,3
61,1.1108838617220824,606804100648219,二维平面画作，三件套，墙壁装饰画，复古海报，帆布印刷品，日式山景墙饰，客厅用帆布艺术画，家居装饰美学，乔迁贺礼，无框画,9.66,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/67e6371861de41588e0f0829e9c4b32c-goods.jpeg,https://www.temu.com/search_result.html?search_key=606804100648219&search_method=user,913.csv,False,,False,0
62,1.1060889015237874,607123673084854,240平方英尺（78克）万圣节蜘蛛网装饰，含20只仿真蜘蛛，，万圣节装饰品，弹性悬挂仿真蜘蛛网装饰品，覆盖面积大，白色仿真万圣节蛛网装饰，适用于装饰万圣节鬼屋、派对、酒吧、房间及家居布置、装饰前院草坪、灌木、树木、围栏、草丛、树枝增加万圣节气氛装饰品,2.96,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/76397ab9-e67f-4f1c-940e-6d2d057e6c11.jpg,https://www.temu.com/search_result.html?search_key=607123673084854&search_method=user,913.csv,True,酒,True,2
63,1.1033862928659113,607128639141355,2D平面，1件装，团体治疗标志 - 20.32X20.32厘米，啤酒金属墙面装饰，酒吧生活装饰标志，适用于车库、咖啡馆装饰或万圣节/感恩节/圣诞节礼物,1.95,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/a7cc8a4c9c9d4f888dd1cc7aa4a57cd0-goods.jpeg,https://www.temu.com/search_result.html?search_key=607128639141355&search_method=user,913.csv,True,酒,True,0
64,1.1016806833890442,606872417442084,1件装饭勺，家用露营野餐 不沾米饭勺，简约设计马卡龙色系，盛土豆泥防烫手盛饭勺，制作寿司助手，,1.83,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/fancy/dc6f024d-ee7e-4255-8d80-9429bc52e0e0.jpg,https://www.temu.com/search_result.html?search_key=606872417442084&search_method=user,913.csv,True,家用,False,0
