排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,source,真实总销量
11,1.296382491246938,601103687392797,"1PC 可爱冰晶小蓝龙雪地嬉戏图案的床笠，独立的一件深口袋床笠、全包围床单、QUEEN,KING,SINGLE适合卧室、双人加大，床上用品，四季通用、装饰 可机洗聚酯纤维床笠 圣诞节、情人节、万圣节等的理想选择",14.57,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/8c4faf21efa8498eb6dbaf25b13ddcb7-goods.jpeg,https://www.temu.com/search_result.html?search_key=601103687392797&search_method=user,910.csv,4
12,1.2942106965493874,606046324122657,1个2D平面墨西哥丰富文化活力传统耐用圆形冰箱贴，适用于冰箱、白板、手工艺品、照片、贴纸、明信片、工具、厨房装饰等，2D平面设计,1.95,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/b999e2f273ae4397a02af353e9fabc30-goods.jpeg,https://www.temu.com/search_result.html?search_key=606046324122657&search_method=user,911.csv,7
13,1.2938444703286938,607140584484352,"Christmas, Halloween, Thanksgiving 100pcs Burgundy Latex Balloons 12.7cm Suitable for Birthday Party Balloons Shower Back to School Season Holiday Background Bridal Shower Wedding Valentine's Day Mother's Day Father's Day Graduation Ceremony Annive",5.08,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/e5ecfd409146451695e310d73e60b237-goods.jpeg,https://www.temu.com/search_result.html?search_key=607140584484352&search_method=user,911.csv,13
14,1.2655314140326397,606684781081296,2件套洗衣袋套装，带拉链的胸罩洗衣袋+一个挂钩，采用蜂窝状织物材料，能有效过滤杂质，支撑框架可有效防止洗涤过程中变形，适合洗涤胸罩、内衣、轻薄围巾和袜子,2.25,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/76eb24c4-f140-4b66-968c-c1d2879614d2.jpg,https://www.temu.com/search_result.html?search_key=606684781081296&search_method=user,911.csv,3
15,1.261287928995019,606785712797629,50只透明塑料餐盘，金边透明餐盘，加厚金色餐盘，锤纹宴会餐盘套装，含25只透明甜点盘、25只宴会餐盘，适用于婚礼、派对,46.37,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/aisc_image/algo/opt/93776bfa/4fb450e4/8fc7e941ec664ebaa0030847cee9cf50-goods.jpeg,https://www.temu.com/search_result.html?search_key=606785712797629&search_method=user,911.csv,4
16,1.2596089082622242,606030956199168,"32pcs Green and Brown Latex Balloons, 25.4cm with Brown Black Dark Lime Green Latex Patry Balloons, for Video Game Theme Patry, Bridal Shower, Jungle Theme Birthday Party, Anniversary, Engagement, Festival Decorations, Holiday Party Decorations",3.3,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/2b3fc4de-2e70-49d7-95a7-f1da739f3f95.jpg,https://www.temu.com/search_result.html?search_key=606030956199168&search_method=user,909.xlsx,0
17,1.2561552726095306,605528126291350,12件，2.36英寸/6cm香槟毛条闪光圣诞装饰球雪球圣诞球装饰品，圣诞亮片圣诞球，香槟色闪光挂球装饰树之家婚礼派对情人节装饰，冬季主题树装饰（帽盖随机发货）,6.15,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/6139f6181bdd43fa845feae32371e7ae-goods.jpeg,https://www.temu.com/search_result.html?search_key=605528126291350&search_method=user,911.csv,2
18,1.2550369092053961,606520112710334,2D平面，1件装 克里特岛沿海村庄亚克力圆形磁性冰箱贴，克里特字样，厨房装饰，白色崖壁房屋，蓝色圆顶教堂，绿松石色大海，适用于家庭、橱柜、冰箱、洗碗机、黑板，2D平面,2.66,家居厨房用品,厨房用品,https://img.kwcdn.com/product/2123a66064/ad51cc54-994a-42c4-8b83-fe2e7a48ff0f_800x800.jpeg,https://www.temu.com/search_result.html?search_key=606520112710334&search_method=user,911.csv,13
19,1.254627835358399,607160180260684,"Halloween, Christmas, Thanksgiving 115pcs Black Light Pink White Orange Latex Balloons 5In 10In 45.72cm Suitable for Theme Party Gathering Birthday Wedding Bridal Shower Shower Graduation",9.47,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/0dac6f34-ac2f-48fb-9e30-4ddefdd36abf.jpg,https://www.temu.com/search_result.html?search_key=607160180260684&search_method=user,909.xlsx,0
20,1.2348298941865876,606516086158760,"1pc,Dark Blue Floral Pattern Reusable Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",4.04,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/62a247a5-cf66-40d1-a503-cf5f7c22565a_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606516086158760&search_method=user,911.csv,8
21,1.2285808337682749,605512674412592,1个 2D平面 佐治亚州耐用圆形冰箱贴，适用于吸附在冰箱、白板、工艺品、照片、贴纸、明信片、工具、厨房装饰等物品上，2D平面,2.74,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/8b559e05548547f2bb4f353ee95b8b7a-goods.jpeg,https://www.temu.com/search_result.html?search_key=605512674412592&search_method=user,911.csv,25
22,1.2248344771133048,606142776348376,三件套床上用品，采用动漫魔法少女梦幻设计，包括一个床笠和两个枕套，不含内芯。它具有节日主题和可爱的美学感，提供柔软透气的床垫保护罩。,19.85,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/4ae07c9631d448bc9b96acdd64c7b9ac-goods.jpeg,https://www.temu.com/search_result.html?search_key=606142776348376&search_method=user,910.csv,1
23,1.2244029913734826,606631899297919,1PC 趣味2D平面静电破窗公鸡窗贴，仿真尖叫小鸡碎玻璃效果可移除静电贴纸，无胶恶搞动物PVC贴纸，适用于家居、办公室、汽车车窗装饰，2D平面,1.23,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/9d1d636b-d4f2-4fa4-ab77-0dde31ad99af.jpg,https://www.temu.com/search_result.html?search_key=606631899297919&search_method=user,910.csv,0
24,1.2178147528589647,606810140445949,2件装 橙灰黑几何块纹理数码印花窗帘，涤纶面料遮光，隐私保护，适用于客厅、卧室、厨房装饰,4.92,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/21152342270/0d094c8b-7f60-402a-bc10-4a7b59ea3202_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606810140445949&search_method=user,911.csv,0
25,1.2043466498529085,605691452483254,"1pc,Monochrome Abstract Heart Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",4.02,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/2528c7d9-6e19-4e6b-95f4-217bbfe5c959_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605691452483254&search_method=user,911.csv,8
26,1.190504317393763,607026767882116,万圣节窗贴、窗花贴纸、万圣节装饰、双面可视、装饰性可爱万圣节角色鬼魂南瓜骷髅与糖果图案贴纸、节日玻璃门装饰、欢快门玻璃点缀,1.25,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/1341ae7ab6ab45f5895af08e865fea03-goods.jpeg,https://www.temu.com/search_result.html?search_key=607026767882116&search_method=user,909.xlsx,0
27,1.1841677988445465,606152893003372,1个2D平面德国耐用圆形冰箱贴，适用于将照片、明信片等贴在冰箱上，作为厨房装饰，2D平面,2.15,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/5e46cfa2782848d291970bf06e1357ae-goods.jpeg,https://www.temu.com/search_result.html?search_key=606152893003372&search_method=user,911.csv,25
28,1.1830058683936913,605650650268202,"1pc,Retro Skull Print Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",4.59,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a639a4/774e5364-1a14-4a84-ae69-0262e0888c53_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605650650268202&search_method=user,911.csv,3
29,1.181060302362298,606692699941627,"1pc 2D Flat Printing Wood Grain Patchwork Pattern Natural Style Sofa Cover, All-Season Sofa Cushion All-In-One Sofa Cover with Tassels, Sofa Protector Cover, Machine Washable, Suitable for 1/2/3/4/5-Seater Sofas",23.48,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/21f06613b0/df702050-8083-4979-a665-be3c6bf5e44e_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606692699941627&search_method=user,911.csv,0
30,1.1727072669187246,606667332772198,1个/1件 适用于家庭、橱柜、冰箱和洗碗机的磁性磁贴 - 复古字母WC组合字母，带华丽涡卷纹饰和仿旧象牙白背景，圆形徽章亚克力磁贴，用于冰箱、黑板装饰，2D平面款,1.44,家居厨房用品,厨房用品,https://img.kwcdn.com/product/2123a61f7c/0692a796-e836-45e9-90ae-49079bbd0224_800x800.jpeg,https://www.temu.com/search_result.html?search_key=606667332772198&search_method=user,911.csv,0
31,1.1672600252337406,607270708601314,2个滤网和4个海绵滤网，真空吸尘器滤网套装，适用于Afoddon A200Pro/A200、ORFELD B08/C10A/C10G、NEQUARE S系列，可清洗可重复使用的出风口和主滤网替换件，真空吸尘器替换滤网，真空吸尘器滤网,9.4,家居厨房用品,吸尘器及扫地机器人,https://img.kwcdn.com/product/fancy/ab905429-ec1d-47dd-9464-aa255e2b35cb.jpg,https://www.temu.com/search_result.html?search_key=607270708601314&search_method=user,909.xlsx,11
32,1.1660649072242184,606847452992128,18个装磁性窗帘夹套装，免钉窗帘夹，适用于遮光床帘，自粘式缝隙闭合器，易于安装且耐用，卧室、客厅和办公室的隐私窗帘固定器，银色窗帘装饰,2.45,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/2360af64-79cd-4552-9789-bc46eb83952a.jpg,https://www.temu.com/search_result.html?search_key=606847452992128&search_method=user,910.csv,3
33,1.1634382801202452,606384821271402,1件 马耳他港磁贴 适用于家庭、橱柜、冰箱和洗碗机 - 马耳他主题圆形亚克力材质 带有马耳他字样、帆船、穹顶城市天际线、石拱门和满月图案 - 冰箱贴厨房装饰品，2D平面,1.95,家居厨房用品,厨房用品,https://img.kwcdn.com/product/2123a628b0/f2972652-df85-4212-a320-64aae1dbe316_800x800.jpeg,https://www.temu.com/search_result.html?search_key=606384821271402&search_method=user,911.csv,3
34,1.1576745921899834,607401973508551,复古风“励志魔法主题文字”木制平面标牌，3.94x15.75英寸 - 怀旧墙壁装饰，适用于室内/家庭、车库、酒吧、街头 - 日常与复活节装饰的理想选择，墙壁艺术。装饰性标牌与匾额，2D平面,1.45,家居厨房用品,家居装饰,https://img.kwcdn.com/product/aisc_image/algo/opt/a3f90566/d4038fed/4d788aadbc7e4e0888b8b69fe4c16dfd-goods.jpeg,https://www.temu.com/search_result.html?search_key=607401973508551&search_method=user,911.csv,6
35,1.1575438705390186,607022070244841,随机颜色-11颗 15毫米亚克力圆角桌游骰子 - 鲜艳六面便携式桌面游戏，适用于派对、游戏和社交聚会 - 万圣节、圣诞节及游戏玩家的完美礼物,2.28,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/aisc_image/fancy/2024-10-25/1686575267078-fd7f75cf61714b199eb6693f19266ccd-goods.jpeg,https://www.temu.com/search_result.html?search_key=607022070244841&search_method=user,910.csv,1
36,1.154225277230847,607376270843084,1件可爱探头浣熊窗贴，高品质自粘可移除贴花，用于橱柜门、玻璃和窗户的趣味家居装饰墙贴，2D平面,1.04,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/d80602be-2231-4461-a7c9-4951ef0fd7fe.jpg,https://www.temu.com/search_result.html?search_key=607376270843084&search_method=user,910.csv,0
37,1.1532000922444066,607680072614315,2D平面画作，1件装 大尺寸现代抽象帽子与条纹墙壁艺术海报 - 无框帆布画，适用于客厅、卧室、办公室装饰，极简主义大幅面抽象画，当代装饰礼品之选，中性色调适配各种室内风格，2D平面,13.34,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/2123a6789c/799f3c55-aa52-4c06-a59e-82146af06590_800x800.jpeg,https://www.temu.com/search_result.html?search_key=607680072614315&search_method=user,909.xlsx,3
38,1.1436766327893453,607169038671450,三层窄间隙储物推车，浴室和厨房用滑动置物架，5.91英寸超窄塑料移动收纳架，小空间卫生间储物架，冰箱缝隙调味品和零食收纳架，落地置物架,14.68,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/fancy/1be6fa47-fbaa-45e9-96db-65cf286bc9c2.jpg,https://www.temu.com/search_result.html?search_key=607169038671450&search_method=user,910.csv,0
39,1.1375355784263235,607544445651336,1个向日葵主题的方形亚克力冰箱磁铁，耐用且完美适用于冰箱、白板、手工艺、照片、贴纸、明信片、工具、厨房用品，适合作为女友的礼物和节日赠品，具有吸引人的设计。,1.38,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/15111ffb92984e0c9533932b28907c18-goods.jpeg,https://www.temu.com/search_result.html?search_key=607544445651336&search_method=user,911.csv,0
40,1.1350315472493022,606621027676496,Multi-Item Party Favor Packs4件多样卡通印花小章鱼可以揉捏的玩具 儿童聚会随手礼品 开学季派个礼物 惊喜礼袋填充小物件、班级奖品，多节日适用，随机颜色款式,2.22,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/ddd1146a-9832-4e91-8cc9-0bb4984de2b4.jpg,https://www.temu.com/search_result.html?search_key=606621027676496&search_method=user,911.csv,3
41,1.1295837824775805,606615390548214,二维平面、海报与印刷品、二维平面、三件套墙壁艺术、分割画布、艺术品印刷品、海报印刷套装、奶油中性色、抽象、浴室、公寓、沙发、墙壁挂饰、家居装饰、无框画布、平面画布艺术、客厅三联画墙壁艺术、斯堪的纳维亚墙壁装饰、二维平面,42.57,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/158121d400864863a94dd8210099215d-goods.jpeg,https://www.temu.com/search_result.html?search_key=606615390548214&search_method=user,909.xlsx,0
42,1.128958936088694,605785069337338,98pcs Balloon Banner Set Police Theme Blue Yellow White Balloons with Golden Police Badge And Police Line Do Not Cross Tape on Blue Background for Party Decoration,12.94,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/a6e50b3968484d099467139513f12665-goods.jpeg,https://www.temu.com/search_result.html?search_key=605785069337338&search_method=user,909.xlsx,0
43,1.128119345556201,606551133750567,2D平面，1件装，复古铝制标牌装饰（英文），户外牌匾和墙面艺术（20.32 cm X 20.32 cm），凯尔特风格：The Bhoys，复古墙面艺术，适用于前院、门、门廊、客厅、车库的家居装饰，送给朋友的礼物，咖啡馆,4.35,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/a6536cb1-c1e7-4bab-b4c5-a65d7d0cbaec.jpg,https://www.temu.com/search_result.html?search_key=606551133750567&search_method=user,911.csv,4
44,1.1267619238779953,606710014026803,30pcs 透明波波气球，适用于海洋主题派个装饰、生日及海底活动的透明圆形泡泡气球,2.02,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/e1d5cfeb-c6e3-4fb1-ae5f-bfae60e76587.jpg,https://www.temu.com/search_result.html?search_key=606710014026803&search_method=user,910.csv,0
45,1.122217564561628,606738199728454,酒店级弹性床罩床裙，防滑防尘透气床垫保护罩，全包围贴合设计，精致蕾丝花边装饰，现代简约美观，非印花面料，柔软耐用，可机洗易护理，四季通用，适合卧室、客房及酒店使用,11.06,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/b63233ef-122f-4a07-8516-24ab8523c685.jpg,https://www.temu.com/search_result.html?search_key=606738199728454&search_method=user,909.xlsx,3
46,1.1214509204540728,606586953157125,"1pc, Two Sea Turtles Underwater Reusable Foldable Shopping Bag Reusable, Suitable for Storage, It Is The Perfect Choice for Essential Items in The School Season",4.78,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a639a4/d1b75351-a4dd-450c-a80c-4e708088073c_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606586953157125&search_method=user,911.csv,5
47,1.117689069145056,607269433495840,1pc 垂坠枫叶秋收静电窗贴，免胶可移除不留残胶，红黄悬挂枫叶秋日玻璃窗贴，客厅橱窗秋季氛围感装饰贴纸,3.23,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/666f51f37acc4a0a8e3724c00acdaed4-goods.jpeg,https://www.temu.com/search_result.html?search_key=607269433495840&search_method=user,911.csv,22
48,1.1160530874627175,606782625798378,方形亚克力耐用磁铁冰箱贴，适用于冰箱、白板、工艺品、照片、贴纸、明信片、工具、厨房配件、女朋友礼物、节日礼物，带有迷人的图案,1.11,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/899a3e1c932243a9b820605c5a25d5a2-goods.jpeg,https://www.temu.com/search_result.html?search_key=606782625798378&search_method=user,911.csv,0
49,1.1154510926087084,606549372162674,1PC 2D flat printing蓝白波浪纹现代简约风华夫格沙发巾，四季通用沙发垫一体式沙发套带流苏，沙发保护罩，适用于单人至四人座沙发,23.39,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/2123a62c90/b571eb2a-cab5-4450-a709-1f71e125283e_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606549372162674&search_method=user,910.csv,11
50,1.1137233822537678,607557733165480,2D平面木框定制海报，个性化2D平面可定制帆布海报 - 定制罪犯通缉令赏金印刷海报，海报和印刷墙壁艺术，帆布印刷艺术品，个性化礼物，墙壁装饰,7.28,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/a2de573533a542f1a44cf8c66b357062-goods.jpeg,https://www.temu.com/search_result.html?search_key=607557733165480&search_method=user,911.csv,0
51,1.1051478933401797,607554109290782,107件装 棕米色气球花环套装，适用于生日、迎婴派对、婚礼、周年纪念，波西米亚风Ins风派对装饰用品，易于组装,6.0,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/ce52bce4-4c45-4f71-a289-3765e350ac92.jpg,https://www.temu.com/search_result.html?search_key=607554109290782&search_method=user,911.csv,18
52,1.1038225188065103,607344192752717,"1件,新款2D平面静电窗贴，秋季枫叶树枝图案，森林小鸟与鸟巢木屋造型，温馨田园风格，适用于客厅卧室浴室门窗玻璃美化装饰贴，秋季-感恩节理想礼物",2.57,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/9703818758084d6aac5de58686dfb2ec-goods.jpeg,https://www.temu.com/search_result.html?search_key=607344192752717&search_method=user,911.csv,8
53,1.1034136843221132,607512300460377,1个加拿大落基山脉冰箱磁贴，适用于班夫风景 - 麋鹿与雪山磁性装饰，亚克力磁性贴纸，适用于冰箱、书桌、办公室 - 送给自然爱好者的圣诞礼物，班夫主题装饰，带有麋鹿图案，2D平面设计。,1.35,家居厨房用品,厨房用品,https://img.kwcdn.com/product/fancy/42279a36-8374-4794-9ddc-73051a3a29a6.jpg,https://www.temu.com/search_result.html?search_key=607512300460377&search_method=user,911.csv,0
54,1.0995150454710922,601104810315877,1件 大型无框圆形墙面装饰画，尺寸为31.49 x 159.99厘米或80 x 160厘米，适用于家居艺术装饰和现代风格的客厅、卧室、办公室、门廊等场所的帆布画,20.71,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2d7f7c735f214631aa70060fbc51eeb1-goods.jpeg,https://www.temu.com/search_result.html?search_key=601104810315877&search_method=user,909.xlsx,1
55,1.0975950700974808,607674972404322,"感恩节丰收南瓜枫叶窗贴 客厅节日窗户装饰无胶自粘窗贴, 家居墙贴, 家居装饰品窗贴 可移除自粘贴, 节日表面装饰, 季节性粘合艺术, 节日贴纸, 装饰艺术风格, 装饰艺术窗贴，PVC材质，自粘贴纸，适用于春季，夏季，等节日装饰贴",2.98,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/0d545c1aec6c448abb372aa3537e2489-goods.jpeg,https://www.temu.com/search_result.html?search_key=607674972404322&search_method=user,910.csv,8
56,1.0919968387447119,607504046066774,1个3层窄间隔移动储物架 | 5.12英寸超窄PP塑料多功能推车 | 带万向轮和不锈钢管 | 适用于浴室、洗衣机侧边、厨房、卧室、落地架 | 多层置物架 | 厨房置物架 | 落地推车夹缝收纳架子 | 多层客厅浴整理神器间,11.23,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/02dd4fe6632446e3942c05a4963e0b46-goods.jpeg,https://www.temu.com/search_result.html?search_key=607504046066774&search_method=user,910.csv,0
57,1.091218914594242,605641859007533,[2D] 1件装，蒲公英白色背景黄色桌旗，涤纶纤维材质，用于节日聚会餐桌、家庭厨房装饰聚会和礼品,4.85,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/open/cdd62758ddb14f1a82445eaa97c12760-goods.jpeg,https://www.temu.com/search_result.html?search_key=605641859007533&search_method=user,909.xlsx,0
58,1.0907176828645644,606751487282501,多功能红外测温枪，高精度LED数字大屏，(-58℉至1022℉）/（-50℃至550℃）非接触式激光功能，物距比12:1，发射率可调，适用于烹饪、披萨烤箱、肉类、烧烤、发动机，激光红外表面工具配件，工业热度测量设备，便携式热度计,9.03,家居厨房用品,酿酒用具,https://img.kwcdn.com/product/open/1776adcf76f0400cba1584fa6a3659d4-goods.jpeg,https://www.temu.com/search_result.html?search_key=606751487282501&search_method=user,909.xlsx,0
59,1.0823990304718973,606655924256062,"Birch Bird Cage Wish Bottle Wall Sticker, Decorative Living Room, Dining Room, Foyer, Bedroom, Removable PVC Wall Sticker",3.69,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/101f220d18db41c69b10e2fcc90b2011-goods.jpeg,https://www.temu.com/search_result.html?search_key=606655924256062&search_method=user,911.csv,1
60,1.0815286389521905,606889865742510,1件桌旗豹纹桌布 27 X 118英寸 涤纶豹纹桌旗 适用于丛林狩猎派个 生日 单身派个 婚礼,5.75,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/fancy/5ec7199c-a225-41e5-b581-cd7255c3f50d.jpg,https://www.temu.com/search_result.html?search_key=606889865742510&search_method=user,911.csv,1
61,1.0814984708192088,606823293797283,黑色的浴室角落置物架，3pcs（1个置物架+2个粘钩）无需打孔，简单安装，整洁整理浴室用品，节省空间设计，耐用结构，适合多个环境使用,3.38,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/2b789bb6bd014316b724264410e9e725-goods.jpeg,https://www.temu.com/search_result.html?search_key=606823293797283&search_method=user,910.csv,0
62,1.0769779839431368,606924896595284,"1件2D平面图案贴花,圣诞窗贴纸，窗花，玻璃贴画 窗户门窗装饰贴纸 圣诞老人麋鹿礼物图案玻璃贴膜 适用于卧室厨房浴室阳台窗户圣诞家居装饰，个面打印，可重复使用，可移除的PVC节日防水贴纸，完美的万圣，圣诞节派个装饰贴纸-玻璃贴膜",1.16,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/f0f89df266f347d9a631822fba24ad34-goods.jpeg,https://www.temu.com/search_result.html?search_key=606924896595284&search_method=user,909.xlsx,0
63,1.0709633206034797,606408913314574,1个宽尾大号吹风帽，超强吸水速干淋浴帽，女士头巾毛巾,1.74,家居厨房用品,毛巾浴巾,https://img.kwcdn.com/product/fancy/6437f9db-1f5c-4c58-83be-0522bdc33392.jpg,https://www.temu.com/search_result.html?search_key=606408913314574&search_method=user,911.csv,1
64,1.0681249484063307,607559478030256,2D平面无框海报 1张，/墙壁艺术复古海报/现代牛仔墙壁艺术印刷品/西部马术骑手插图/深粉色背景海报/南西部牛仔赛场装饰/实物印刷/适用于卧室客厅装饰新房,1.91,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/abfa7fec7583463ebd57d16e830bb36e-goods.jpeg,https://www.temu.com/search_result.html?search_key=607559478030256&search_method=user,909.xlsx,0
